,,SW.Daily,Grade Code
Start of Interval (UTC),End of Interval (UTC),Average (mm),
05/04/1992 00:00,06/04/1992 00:00,NaN,-2
06/04/1992 00:00,07/04/1992 00:00,651,-1
07/04/1992 00:00,08/04/1992 00:00,657,-1
08/04/1992 00:00,09/04/1992 00:00,662,-1
09/04/1992 00:00,10/04/1992 00:00,665.3333333,-1
10/04/1992 00:00,11/04/1992 00:00,665.6666667,-1
11/04/1992 00:00,12/04/1992 00:00,655,-1
12/04/1992 00:00,13/04/1992 00:00,638,-1
13/04/1992 00:00,14/04/1992 00:00,635,-1
14/04/1992 00:00,15/04/1992 00:00,656.3333333,-1
15/04/1992 00:00,16/04/1992 00:00,670,-1
16/04/1992 00:00,17/04/1992 00:00,658.6666667,-1
17/04/1992 00:00,18/04/1992 00:00,641,-1
18/04/1992 00:00,19/04/1992 00:00,642,-1
19/04/1992 00:00,20/04/1992 00:00,640,-1
20/04/1992 00:00,21/04/1992 00:00,639,-1
21/04/1992 00:00,22/04/1992 00:00,638,-1
22/04/1992 00:00,23/04/1992 00:00,641,-1
23/04/1992 00:00,24/04/1992 00:00,642,-1
24/04/1992 00:00,25/04/1992 00:00,638,-1
25/04/1992 00:00,26/04/1992 00:00,626,-1
26/04/1992 00:00,27/04/1992 00:00,606.6666667,-1
27/04/1992 00:00,28/04/1992 00:00,600,-1
28/04/1992 00:00,29/04/1992 00:00,597,-1
29/04/1992 00:00,30/04/1992 00:00,592,-1
30/04/1992 00:00,01/05/1992 00:00,592,-1
01/05/1992 00:00,02/05/1992 00:00,588,-1
02/05/1992 00:00,03/05/1992 00:00,587,-1
03/05/1992 00:00,04/05/1992 00:00,580,-1
04/05/1992 00:00,05/05/1992 00:00,561,-1
05/05/1992 00:00,06/05/1992 00:00,540.6666667,-1
06/05/1992 00:00,07/05/1992 00:00,533,-1
07/05/1992 00:00,08/05/1992 00:00,527,-1
08/05/1992 00:00,09/05/1992 00:00,528,-1
09/05/1992 00:00,10/05/1992 00:00,529,-1
10/05/1992 00:00,11/05/1992 00:00,532.3333333,-1
11/05/1992 00:00,12/05/1992 00:00,546,-1
12/05/1992 00:00,13/05/1992 00:00,550,-1
13/05/1992 00:00,14/05/1992 00:00,537.6666667,-1
14/05/1992 00:00,15/05/1992 00:00,516,-1
15/05/1992 00:00,16/05/1992 00:00,500,-1
16/05/1992 00:00,17/05/1992 00:00,481.6666667,-1
17/05/1992 00:00,18/05/1992 00:00,469,-1
18/05/1992 00:00,19/05/1992 00:00,470,-1
19/05/1992 00:00,20/05/1992 00:00,469,-1
20/05/1992 00:00,21/05/1992 00:00,461,-1
21/05/1992 00:00,22/05/1992 00:00,455,-1
22/05/1992 00:00,23/05/1992 00:00,445,-1
23/05/1992 00:00,24/05/1992 00:00,424.6666667,-1
24/05/1992 00:00,25/05/1992 00:00,397,-1
25/05/1992 00:00,26/05/1992 00:00,367,-1
26/05/1992 00:00,27/05/1992 00:00,344.6666667,-1
27/05/1992 00:00,28/05/1992 00:00,325,-1
28/05/1992 00:00,29/05/1992 00:00,300.6666667,-1
29/05/1992 00:00,30/05/1992 00:00,274,-1
30/05/1992 00:00,31/05/1992 00:00,251,-1
31/05/1992 00:00,01/06/1992 00:00,221.6666667,-1
01/06/1992 00:00,02/06/1992 00:00,201,-1
02/06/1992 00:00,03/06/1992 00:00,183,-1
03/06/1992 00:00,04/06/1992 00:00,158.6666667,-1
04/06/1992 00:00,05/06/1992 00:00,119.6666667,-1
05/06/1992 00:00,06/06/1992 00:00,83,-1
06/06/1992 00:00,07/06/1992 00:00,59,-1
07/06/1992 00:00,08/06/1992 00:00,37.66666667,-1
08/06/1992 00:00,09/06/1992 00:00,24,-1
09/06/1992 00:00,10/06/1992 00:00,17,-1
10/06/1992 00:00,11/06/1992 00:00,13,-1
11/06/1992 00:00,12/06/1992 00:00,7,-1
12/06/1992 00:00,13/06/1992 00:00,2,-1
13/06/1992 00:00,14/06/1992 00:00,0,-1
14/06/1992 00:00,15/06/1992 00:00,0,-1
15/06/1992 00:00,16/06/1992 00:00,0,-1
16/06/1992 00:00,17/06/1992 00:00,0,-1
17/06/1992 00:00,18/06/1992 00:00,0,-1
18/06/1992 00:00,19/06/1992 00:00,0,-1
19/06/1992 00:00,20/06/1992 00:00,0,-1
20/06/1992 00:00,21/06/1992 00:00,0,-1
21/06/1992 00:00,22/06/1992 00:00,0,-1
22/06/1992 00:00,23/06/1992 00:00,0,-1
23/06/1992 00:00,24/06/1992 00:00,0,-1
24/06/1992 00:00,25/06/1992 00:00,0,-1
25/06/1992 00:00,26/06/1992 00:00,0,-1
26/06/1992 00:00,27/06/1992 00:00,0,-1
27/06/1992 00:00,28/06/1992 00:00,0,-1
28/06/1992 00:00,29/06/1992 00:00,0,-1
29/06/1992 00:00,30/06/1992 00:00,0,-1
30/06/1992 00:00,01/07/1992 00:00,0,-1
01/07/1992 00:00,02/07/1992 00:00,NaN,-2
02/07/1992 00:00,03/07/1992 00:00,NaN,-2
03/07/1992 00:00,04/07/1992 00:00,NaN,-2
04/07/1992 00:00,05/07/1992 00:00,NaN,-2
05/07/1992 00:00,06/07/1992 00:00,NaN,-2
06/07/1992 00:00,07/07/1992 00:00,NaN,-2
07/07/1992 00:00,08/07/1992 00:00,NaN,-2
08/07/1992 00:00,09/07/1992 00:00,NaN,-2
09/07/1992 00:00,10/07/1992 00:00,NaN,-2
10/07/1992 00:00,11/07/1992 00:00,NaN,-2
11/07/1992 00:00,12/07/1992 00:00,NaN,-2
12/07/1992 00:00,13/07/1992 00:00,NaN,-2
13/07/1992 00:00,14/07/1992 00:00,NaN,-2
14/07/1992 00:00,15/07/1992 00:00,NaN,-2
15/07/1992 00:00,16/07/1992 00:00,NaN,-2
16/07/1992 00:00,17/07/1992 00:00,NaN,-2
17/07/1992 00:00,18/07/1992 00:00,NaN,-2
18/07/1992 00:00,19/07/1992 00:00,NaN,-2
19/07/1992 00:00,20/07/1992 00:00,NaN,-2
20/07/1992 00:00,21/07/1992 00:00,NaN,-2
21/07/1992 00:00,22/07/1992 00:00,NaN,-2
22/07/1992 00:00,23/07/1992 00:00,NaN,-2
23/07/1992 00:00,24/07/1992 00:00,NaN,-2
24/07/1992 00:00,25/07/1992 00:00,NaN,-2
25/07/1992 00:00,26/07/1992 00:00,NaN,-2
26/07/1992 00:00,27/07/1992 00:00,NaN,-2
27/07/1992 00:00,28/07/1992 00:00,NaN,-2
28/07/1992 00:00,29/07/1992 00:00,NaN,-2
29/07/1992 00:00,30/07/1992 00:00,NaN,-2
30/07/1992 00:00,31/07/1992 00:00,NaN,-2
31/07/1992 00:00,01/08/1992 00:00,NaN,-2
01/08/1992 00:00,02/08/1992 00:00,NaN,-2
02/08/1992 00:00,03/08/1992 00:00,NaN,-2
03/08/1992 00:00,04/08/1992 00:00,NaN,-2
04/08/1992 00:00,05/08/1992 00:00,NaN,-2
05/08/1992 00:00,06/08/1992 00:00,NaN,-2
06/08/1992 00:00,07/08/1992 00:00,NaN,-2
07/08/1992 00:00,08/08/1992 00:00,NaN,-2
08/08/1992 00:00,09/08/1992 00:00,NaN,-2
09/08/1992 00:00,10/08/1992 00:00,NaN,-2
10/08/1992 00:00,11/08/1992 00:00,NaN,-2
11/08/1992 00:00,12/08/1992 00:00,NaN,-2
12/08/1992 00:00,13/08/1992 00:00,NaN,-2
13/08/1992 00:00,14/08/1992 00:00,NaN,-2
14/08/1992 00:00,15/08/1992 00:00,NaN,-2
15/08/1992 00:00,16/08/1992 00:00,NaN,-2
16/08/1992 00:00,17/08/1992 00:00,NaN,-2
17/08/1992 00:00,18/08/1992 00:00,NaN,-2
18/08/1992 00:00,19/08/1992 00:00,NaN,-2
19/08/1992 00:00,20/08/1992 00:00,NaN,-2
20/08/1992 00:00,21/08/1992 00:00,NaN,-2
21/08/1992 00:00,22/08/1992 00:00,NaN,-2
22/08/1992 00:00,23/08/1992 00:00,NaN,-2
23/08/1992 00:00,24/08/1992 00:00,NaN,-2
24/08/1992 00:00,25/08/1992 00:00,NaN,-2
25/08/1992 00:00,26/08/1992 00:00,NaN,-2
26/08/1992 00:00,27/08/1992 00:00,NaN,-2
27/08/1992 00:00,28/08/1992 00:00,NaN,-2
28/08/1992 00:00,29/08/1992 00:00,NaN,-2
29/08/1992 00:00,30/08/1992 00:00,NaN,-2
30/08/1992 00:00,31/08/1992 00:00,NaN,-2
31/08/1992 00:00,01/09/1992 00:00,NaN,-2
01/09/1992 00:00,02/09/1992 00:00,NaN,-2
02/09/1992 00:00,03/09/1992 00:00,NaN,-2
03/09/1992 00:00,04/09/1992 00:00,NaN,-2
04/09/1992 00:00,05/09/1992 00:00,NaN,-2
05/09/1992 00:00,06/09/1992 00:00,NaN,-2
06/09/1992 00:00,07/09/1992 00:00,NaN,-2
07/09/1992 00:00,08/09/1992 00:00,NaN,-2
08/09/1992 00:00,09/09/1992 00:00,NaN,-2
09/09/1992 00:00,10/09/1992 00:00,NaN,-2
10/09/1992 00:00,11/09/1992 00:00,NaN,-2
11/09/1992 00:00,12/09/1992 00:00,NaN,-2
12/09/1992 00:00,13/09/1992 00:00,NaN,-2
13/09/1992 00:00,14/09/1992 00:00,NaN,-2
14/09/1992 00:00,15/09/1992 00:00,NaN,-2
15/09/1992 00:00,16/09/1992 00:00,NaN,-2
16/09/1992 00:00,17/09/1992 00:00,NaN,-2
17/09/1992 00:00,18/09/1992 00:00,NaN,-2
18/09/1992 00:00,19/09/1992 00:00,NaN,-2
19/09/1992 00:00,20/09/1992 00:00,NaN,-2
20/09/1992 00:00,21/09/1992 00:00,0,-1
21/09/1992 00:00,22/09/1992 00:00,0,-1
22/09/1992 00:00,23/09/1992 00:00,0,-1
23/09/1992 00:00,24/09/1992 00:00,0,-1
24/09/1992 00:00,25/09/1992 00:00,5,-1
25/09/1992 00:00,26/09/1992 00:00,15,-1
26/09/1992 00:00,27/09/1992 00:00,15,-1
27/09/1992 00:00,28/09/1992 00:00,10,-1
28/09/1992 00:00,29/09/1992 00:00,0,-1
29/09/1992 00:00,30/09/1992 00:00,0,-1
30/09/1992 00:00,01/10/1992 00:00,0,-1
01/10/1992 00:00,02/10/1992 00:00,0,-1
02/10/1992 00:00,03/10/1992 00:00,0,-1
03/10/1992 00:00,04/10/1992 00:00,0,-1
04/10/1992 00:00,05/10/1992 00:00,0,-1
05/10/1992 00:00,06/10/1992 00:00,0,-1
06/10/1992 00:00,07/10/1992 00:00,0,-1
07/10/1992 00:00,08/10/1992 00:00,0,-1
08/10/1992 00:00,09/10/1992 00:00,0,-1
09/10/1992 00:00,10/10/1992 00:00,0,-1
10/10/1992 00:00,11/10/1992 00:00,0,-1
11/10/1992 00:00,12/10/1992 00:00,0,-1
12/10/1992 00:00,13/10/1992 00:00,0,-1
13/10/1992 00:00,14/10/1992 00:00,0,-1
14/10/1992 00:00,15/10/1992 00:00,0,-1
15/10/1992 00:00,16/10/1992 00:00,1,-1
16/10/1992 00:00,17/10/1992 00:00,11,-1
17/10/1992 00:00,18/10/1992 00:00,29.33333333,-1
18/10/1992 00:00,19/10/1992 00:00,34,-1
19/10/1992 00:00,20/10/1992 00:00,35,-1
20/10/1992 00:00,21/10/1992 00:00,38,-1
21/10/1992 00:00,22/10/1992 00:00,41,-1
22/10/1992 00:00,23/10/1992 00:00,41,-1
23/10/1992 00:00,24/10/1992 00:00,37,-1
24/10/1992 00:00,25/10/1992 00:00,39,-1
25/10/1992 00:00,26/10/1992 00:00,44,-1
26/10/1992 00:00,27/10/1992 00:00,47,-1
27/10/1992 00:00,28/10/1992 00:00,49,-1
28/10/1992 00:00,29/10/1992 00:00,49,-1
29/10/1992 00:00,30/10/1992 00:00,49,-1
30/10/1992 00:00,31/10/1992 00:00,50,-1
31/10/1992 00:00,01/11/1992 00:00,50,-1
01/11/1992 00:00,02/11/1992 00:00,49,-1
02/11/1992 00:00,03/11/1992 00:00,61,-1
03/11/1992 00:00,04/11/1992 00:00,74,-1
04/11/1992 00:00,05/11/1992 00:00,78,-1
05/11/1992 00:00,06/11/1992 00:00,83,-1
06/11/1992 00:00,07/11/1992 00:00,86,-1
07/11/1992 00:00,08/11/1992 00:00,88,-1
08/11/1992 00:00,09/11/1992 00:00,89,-1
09/11/1992 00:00,10/11/1992 00:00,91,-1
10/11/1992 00:00,11/11/1992 00:00,91,-1
11/11/1992 00:00,12/11/1992 00:00,93.33333333,-1
12/11/1992 00:00,13/11/1992 00:00,98,-1
13/11/1992 00:00,14/11/1992 00:00,98,-1
14/11/1992 00:00,15/11/1992 00:00,98,-1
15/11/1992 00:00,16/11/1992 00:00,98,-1
16/11/1992 00:00,17/11/1992 00:00,99,-1
