Date,Parameter,Discharge_cms,Symbol
1976-08-01,Flow,NA,NA
1976-08-02,Flow,NA,NA
1976-08-03,Flow,NA,NA
1976-08-04,Flow,NA,NA
1976-08-05,Flow,NA,NA
1976-08-06,Flow,NA,NA
1976-08-07,Flow,NA,NA
1976-08-08,Flow,NA,NA
1976-08-09,Flow,NA,NA
1976-08-10,Flow,NA,NA
1976-08-11,Flow,NA,NA
1976-08-12,Flow,NA,NA
1976-08-13,Flow,13.6000003814697,A
1976-08-14,Flow,NA,NA
1976-08-15,Flow,NA,NA
1976-08-16,Flow,NA,NA
1976-08-17,Flow,NA,NA
1976-08-18,Flow,NA,NA
1976-08-19,Flow,NA,NA
1976-08-20,Flow,NA,NA
1976-08-21,Flow,NA,NA
1976-08-22,Flow,NA,NA
1976-08-23,Flow,NA,NA
1976-08-24,Flow,NA,NA
1976-08-25,Flow,7.1399998664856,A
1976-08-26,Flow,6.98999977111816,NA
1976-08-27,Flow,7.96000003814697,NA
1976-08-28,Flow,8.01000022888184,NA
1976-08-29,Flow,7.48000001907349,NA
1976-08-30,Flow,16.2000007629395,NA
1976-08-31,Flow,14.3999996185303,NA
1976-09-01,Flow,11.8999996185303,NA
1976-09-02,Flow,9.36999988555908,NA
1976-09-03,Flow,10.6000003814697,NA
1976-09-04,Flow,18.6000003814697,NA
1976-09-05,Flow,11.3999996185303,NA
1976-09-06,Flow,8.10000038146973,NA
1976-09-07,Flow,6.48000001907349,NA
1976-09-08,Flow,5.75,NA
1976-09-09,Flow,8.01000022888184,NA
1976-09-10,Flow,9.77000045776367,NA
1976-09-11,Flow,8.10000038146973,NA
1976-09-12,Flow,7.01999998092651,NA
1976-09-13,Flow,10.1000003814697,NA
1976-09-14,Flow,10.6000003814697,NA
1976-09-15,Flow,8.21000003814697,NA
1976-09-16,Flow,8.21000003814697,NA
1976-09-17,Flow,7.1399998664856,NA
1976-09-18,Flow,6,NA
1976-09-19,Flow,5.48999977111816,NA
1976-09-20,Flow,6.82000017166138,NA
1976-09-21,Flow,7.61999988555908,NA
1976-09-22,Flow,8.13000011444092,NA
1976-09-23,Flow,7.78999996185303,NA
1976-09-24,Flow,8.01000022888184,NA
1976-09-25,Flow,9.17000007629394,NA
1976-09-26,Flow,9.0600004196167,NA
1976-09-27,Flow,8.30000019073486,NA
1976-09-28,Flow,14.8000001907349,NA
1976-09-29,Flow,16.7999992370605,NA
1976-09-30,Flow,8.67000007629395,NA
1976-10-01,Flow,6.34000015258789,NA
1976-10-02,Flow,5.44000005722046,NA
1976-10-03,Flow,4.61999988555908,NA
1976-10-04,Flow,4.32999992370605,NA
1976-10-05,Flow,4.6399998664856,NA
1976-10-06,Flow,6.94000005722046,NA
1976-10-07,Flow,7.44999980926514,NA
1976-10-08,Flow,6.11999988555908,NA
1976-10-09,Flow,7.67000007629395,NA
1976-10-10,Flow,7.44999980926514,NA
1976-10-11,Flow,6.28999996185303,NA
1976-10-12,Flow,7.55999994277954,NA
1976-10-13,Flow,15.6000003814697,NA
1976-10-14,Flow,6.84999990463257,NA
1976-10-15,Flow,5.23999977111816,NA
1976-10-16,Flow,4.55999994277954,NA
1976-10-17,Flow,4.01999998092651,NA
1976-10-18,Flow,3.71000003814697,NA
1976-10-19,Flow,3.53999996185303,NA
1976-10-20,Flow,3.36999988555908,NA
1976-10-21,Flow,3.14000010490417,NA
1976-10-22,Flow,3.08999991416931,NA
1976-10-23,Flow,2.92000007629395,NA
1976-10-24,Flow,2.94000005722046,NA
1976-10-25,Flow,3.02999997138977,NA
1976-10-26,Flow,7.55999994277954,NA
1976-10-27,Flow,45.9000015258789,NA
1976-10-28,Flow,6.30999994277954,NA
1976-10-29,Flow,4.61999988555908,NA
1976-10-30,Flow,4.01999998092651,NA
1976-10-31,Flow,3.59999990463257,NA
1976-11-01,Flow,3.25999999046326,NA
1976-11-02,Flow,3.02999997138977,NA
1976-11-03,Flow,17,NA
1976-11-04,Flow,20.6000003814697,NA
1976-11-05,Flow,6.34000015258789,NA
1976-11-06,Flow,4.3899998664856,NA
1976-11-07,Flow,4.1100001335144,NA
1976-11-08,Flow,3.76999998092651,NA
1976-11-09,Flow,3.48000001907349,NA
1976-11-10,Flow,3.23000001907349,NA
1976-11-11,Flow,3.02999997138977,NA
1976-11-12,Flow,2.92000007629395,NA
1976-11-13,Flow,2.75,NA
1976-11-14,Flow,2.6800000667572,NA
1976-11-15,Flow,2.54999995231628,NA
1976-11-16,Flow,3.05999994277954,NA
1976-11-17,Flow,6.76999998092651,NA
1976-11-18,Flow,3.88000011444092,NA
1976-11-19,Flow,3.33999991416931,NA
1976-11-20,Flow,3.08999991416931,B
1976-11-21,Flow,2.89000010490417,B
1976-11-22,Flow,2.72000002861023,B
1976-11-23,Flow,2.54999995231628,B
1976-11-24,Flow,2.44000005722046,B
1976-11-25,Flow,2.3199999332428,B
1976-11-26,Flow,2.21000003814697,B
1976-11-27,Flow,2.11999988555908,B
1976-11-28,Flow,2.03999996185303,B
1976-11-29,Flow,1.95000004768372,B
1976-11-30,Flow,1.87000000476837,B
