Date,Parameter,Discharge_cms,Symbol
1950-05-01,Flow,235,NA
1950-05-02,Flow,269,NA
1950-05-03,Flow,311,NA
1950-05-04,Flow,334,NA
1950-05-05,Flow,340,NA
1950-05-06,Flow,328,NA
1950-05-07,Flow,314,NA
1950-05-08,Flow,306,NA
1950-05-09,Flow,314,NA
1950-05-10,Flow,328,NA
1950-05-11,Flow,343,NA
1950-05-12,Flow,357,NA
1950-05-13,Flow,377,NA
1950-05-14,Flow,388,NA
1950-05-15,Flow,396,NA
1950-05-16,Flow,402,NA
1950-05-17,Flow,433,NA
1950-05-18,Flow,450,NA
1950-05-19,Flow,470,NA
1950-05-20,Flow,484,NA
1950-05-21,Flow,501,NA
1950-05-22,Flow,513,NA
1950-05-23,Flow,527,NA
1950-05-24,Flow,530,NA
1950-05-25,Flow,530,NA
1950-05-26,Flow,532,NA
1950-05-27,Flow,538,NA
1950-05-28,Flow,538,NA
1950-05-29,Flow,544,NA
1950-05-30,Flow,547,NA
1950-05-31,Flow,552,NA
1950-06-01,Flow,552,NA
1950-06-02,Flow,558,NA
1950-06-03,Flow,561,NA
1950-06-04,Flow,569,NA
1950-06-05,Flow,578,NA
1950-06-06,Flow,589,NA
1950-06-07,Flow,597,NA
1950-06-08,Flow,614,NA
1950-06-09,Flow,626,NA
1950-06-10,Flow,643,NA
1950-06-11,Flow,657,NA
1950-06-12,Flow,674,NA
1950-06-13,Flow,694,NA
1950-06-14,Flow,711,NA
1950-06-15,Flow,728,NA
1950-06-16,Flow,745,NA
1950-06-17,Flow,765,NA
1950-06-18,Flow,784,NA
1950-06-19,Flow,801,NA
1950-06-20,Flow,824,NA
1950-06-21,Flow,844,NA
1950-06-22,Flow,867,NA
1950-06-23,Flow,883,NA
1950-06-24,Flow,903,NA
1950-06-25,Flow,923,NA
1950-06-26,Flow,946,NA
1950-06-27,Flow,963,NA
1950-06-28,Flow,977,NA
1950-06-29,Flow,991,NA
1950-06-30,Flow,994,NA
1950-07-01,Flow,994,NA
1950-07-02,Flow,994,NA
1950-07-03,Flow,988,NA
1950-07-04,Flow,983,NA
1950-07-05,Flow,971,NA
1950-07-06,Flow,957,NA
1950-07-07,Flow,946,NA
1950-07-08,Flow,923,NA
1950-07-09,Flow,909,NA
1950-07-10,Flow,906,NA
1950-07-11,Flow,881,NA
1950-07-12,Flow,883,NA
1950-07-13,Flow,878,NA
1950-07-14,Flow,869,NA
1950-07-15,Flow,867,NA
1950-07-16,Flow,861,NA
1950-07-17,Flow,855,NA
1950-07-18,Flow,844,NA
1950-07-19,Flow,835,NA
1950-07-20,Flow,821,NA
1950-07-21,Flow,807,NA
1950-07-22,Flow,790,NA
1950-07-23,Flow,776,NA
1950-07-24,Flow,759,NA
1950-07-25,Flow,745,NA
1950-07-26,Flow,733,NA
1950-07-27,Flow,719,NA
1950-07-28,Flow,705,NA
1950-07-29,Flow,691,NA
1950-07-30,Flow,674,NA
1950-07-31,Flow,660,NA
1950-08-01,Flow,643,NA
