Date,Parameter,Level_m,Symbol
2011-01-01,Level,0.898000001907349,NA
2011-01-02,Level,0.878000020980835,NA
2011-01-03,Level,0.86599999666214,NA
2011-01-04,Level,0.856000006198883,NA
2011-01-05,Level,0.850000023841858,NA
2011-01-06,Level,0.839999973773956,NA
2011-01-07,Level,0.833000004291534,NA
2011-01-08,Level,0.829999983310699,NA
2011-01-09,Level,0.853999972343445,NA
2011-01-10,Level,0.864000022411346,NA
2011-01-11,Level,0.860000014305115,NA
2011-01-12,Level,0.852999985218048,NA
2011-01-13,Level,0.851000010967255,NA
2011-01-14,Level,0.83899998664856,NA
2011-01-15,Level,0.848999977111816,NA
2011-01-16,Level,0.870999991893768,NA
2011-01-17,Level,0.878000020980835,NA
2011-01-18,Level,0.867999970912933,A
2011-01-19,Level,0.859000027179718,NA
2011-01-20,Level,0.852999985218048,A
2011-01-21,Level,0.866999983787537,NA
2011-01-22,Level,0.848999977111816,A
2011-01-23,Level,0.836000025272369,NA
2011-01-24,Level,0.839999973773956,NA
2011-01-25,Level,0.828999996185303,NA
2011-01-26,Level,1.057000041008,NA
2011-01-27,Level,1.67200005054474,NA
2011-01-28,Level,1.72300004959106,NA
2011-01-29,Level,1.42499995231628,NA
2011-01-30,Level,1.12899994850159,NA
2011-01-31,Level,1.01199996471405,NA
2011-02-01,Level,0.925000011920929,NA
2011-02-02,Level,0.888999998569489,A
2011-02-03,Level,0.90499997138977,NA
2011-02-04,Level,1.22200000286102,NA
2011-02-05,Level,0.949000000953674,NA
2011-02-06,Level,0.898999989032745,NA
2011-02-07,Level,0.876999974250793,NA
2011-02-08,Level,0.90499997138977,NA
2011-02-09,Level,0.866999983787537,NA
2011-02-10,Level,0.846000015735626,NA
2011-02-11,Level,0.837000012397766,NA
2011-02-12,Level,0.830999970436096,NA
2011-02-13,Level,0.846000015735626,NA
2011-02-14,Level,0.864000022411346,NA
2011-02-15,Level,0.830999970436096,NA
2011-02-16,Level,0.921999990940094,NA
2011-02-17,Level,0.879999995231628,NA
2011-02-18,Level,0.926999986171722,NA
2011-02-19,Level,0.912999987602234,NA
2011-02-20,Level,0.888000011444092,NA
2011-02-21,Level,0.846000015735626,NA
2011-02-22,Level,0.83899998664856,NA
2011-02-23,Level,0.842000007629395,NA
2011-02-24,Level,0.866999983787537,NA
2011-02-25,Level,0.897000014781952,NA
2011-02-26,Level,0.885999977588654,NA
2011-02-27,Level,0.865000009536743,NA
2011-02-28,Level,0.859000027179718,NA
2011-03-01,Level,0.865000009536743,NA
2011-03-02,Level,0.870999991893768,NA
2011-03-03,Level,0.86599999666214,NA
2011-03-04,Level,0.859000027179718,NA
2011-03-05,Level,0.851000010967255,NA
2011-03-06,Level,0.845000028610229,NA
2011-03-07,Level,0.842999994754791,NA
2011-03-08,Level,0.846000015735626,NA
2011-03-09,Level,0.852999985218048,NA
2011-03-10,Level,0.861000001430511,NA
2011-03-11,Level,0.855000019073486,NA
2011-03-12,Level,0.845000028610229,NA
2011-03-13,Level,0.836000025272369,NA
2011-03-14,Level,0.829999983310699,NA
2011-03-15,Level,0.822000026702881,NA
2011-03-16,Level,0.813000023365021,NA
2011-03-17,Level,0.809000015258789,NA
2011-03-18,Level,0.806999981403351,NA
2011-03-19,Level,0.799000024795532,NA
2011-03-20,Level,0.795000016689301,NA
2011-03-21,Level,0.796000003814697,NA
2011-03-22,Level,0.799000024795532,NA
2011-03-23,Level,0.796000003814697,NA
2011-03-24,Level,0.796000003814697,NA
2011-03-25,Level,0.794000029563904,NA
2011-03-26,Level,0.791999995708466,NA
2011-03-27,Level,0.791000008583069,NA
2011-03-28,Level,0.791999995708466,NA
2011-03-29,Level,0.791000008583069,NA
2011-03-30,Level,0.791000008583069,NA
2011-03-31,Level,0.791000008583069,NA
2011-04-01,Level,0.790000021457672,NA
2011-04-02,Level,0.790000021457672,NA
2011-04-03,Level,0.788999974727631,NA
2011-04-04,Level,0.787000000476837,NA
2011-04-05,Level,0.787000000476837,NA
2011-04-06,Level,0.787999987602234,NA
2011-04-07,Level,0.787999987602234,NA
2011-04-08,Level,0.787999987602234,NA
2011-04-09,Level,0.787999987602234,NA
2011-04-10,Level,0.787000000476837,NA
2011-04-11,Level,0.788999974727631,NA
2011-04-12,Level,0.788999974727631,NA
2011-04-13,Level,0.787999987602234,NA
2011-04-14,Level,0.787999987602234,NA
2011-04-15,Level,0.787999987602234,NA
2011-04-16,Level,0.787000000476837,NA
2011-04-17,Level,0.787000000476837,NA
2011-04-18,Level,0.787000000476837,NA
2011-04-19,Level,0.787000000476837,NA
2011-04-20,Level,0.78600001335144,NA
2011-04-21,Level,0.787000000476837,NA
2011-04-22,Level,0.787000000476837,NA
2011-04-23,Level,0.790000021457672,NA
2011-04-24,Level,0.792999982833862,NA
2011-04-25,Level,0.797999978065491,NA
2011-04-26,Level,0.808000028133392,NA
2011-04-27,Level,0.813000023365021,NA
2011-04-28,Level,0.813000023365021,NA
2011-04-29,Level,0.819999992847443,NA
2011-04-30,Level,0.820999979972839,NA
2011-05-01,Level,0.820999979972839,NA
2011-05-02,Level,0.820999979972839,NA
2011-05-03,Level,0.824000000953674,NA
2011-05-04,Level,0.825999975204468,NA
2011-05-05,Level,0.824999988079071,NA
2011-05-06,Level,0.829999983310699,NA
2011-05-07,Level,0.848999977111816,NA
2011-05-08,Level,0.879999995231628,NA
2011-05-09,Level,0.908999979496002,NA
2011-05-10,Level,0.924000024795532,NA
2011-05-11,Level,0.9200000166893,NA
2011-05-12,Level,0.907999992370606,NA
2011-05-13,Level,0.906000018119812,NA
2011-05-14,Level,0.930999994277954,NA
2011-05-15,Level,1,NA
2011-05-16,Level,1.08800005912781,A
2011-05-17,Level,1.08899998664856,NA
2011-05-18,Level,1.03299999237061,NA
2011-05-19,Level,0.999000012874603,NA
2011-05-20,Level,1.03699994087219,NA
2011-05-21,Level,1.10399997234344,NA
2011-05-22,Level,1.10199999809265,NA
2011-05-23,Level,1.10000002384186,NA
2011-05-24,Level,1.11699998378754,NA
2011-05-25,Level,1.14800000190735,A
2011-05-26,Level,1.21899998188019,A
2011-05-27,Level,1.16199994087219,NA
2011-05-28,Level,1.12699997425079,NA
2011-05-29,Level,1.21200001239777,NA
2011-05-30,Level,1.24199998378754,A
2011-05-31,Level,1.25300002098083,A
2011-06-01,Level,1.30400002002716,NA
2011-06-02,Level,1.33200001716614,A
2011-06-03,Level,1.31200003623962,A
2011-06-04,Level,1.26900005340576,A
2011-06-05,Level,1.26999998092651,NA
2011-06-06,Level,1.30400002002716,A
2011-06-07,Level,1.28699994087219,A
2011-06-08,Level,1.31299996376038,NA
2011-06-09,Level,1.35300004482269,A
2011-06-10,Level,1.3309999704361,NA
2011-06-11,Level,1.28100001811981,NA
2011-06-12,Level,1.25699996948242,NA
2011-06-13,Level,1.25600004196167,NA
2011-06-14,Level,1.26600003242493,NA
2011-06-15,Level,1.23399996757507,NA
2011-06-16,Level,1.23399996757507,NA
2011-06-17,Level,1.27999997138977,NA
2011-06-18,Level,1.33200001716614,NA
2011-06-19,Level,1.29999995231628,NA
2011-06-20,Level,1.30400002002716,NA
2011-06-21,Level,1.30499994754791,NA
2011-06-22,Level,1.30499994754791,NA
2011-06-23,Level,1.26600003242493,NA
2011-06-24,Level,1.25399994850159,NA
2011-06-25,Level,1.30499994754791,NA
2011-06-26,Level,1.27999997138977,NA
2011-06-27,Level,1.30900001525879,NA
2011-06-28,Level,1.33299994468689,NA
2011-06-29,Level,1.33200001716614,NA
2011-06-30,Level,1.25199997425079,NA
2011-07-01,Level,1.182000041008,NA
2011-07-02,Level,1.17999994754791,NA
2011-07-03,Level,1.20299994945526,NA
2011-07-04,Level,1.18400001525879,NA
2011-07-05,Level,1.23000001907349,NA
2011-07-06,Level,1.29299998283386,NA
2011-07-07,Level,1.25,NA
2011-07-08,Level,1.20299994945526,NA
2011-07-09,Level,1.19599997997284,NA
2011-07-10,Level,1.18400001525879,NA
2011-07-11,Level,1.18099999427795,NA
2011-07-12,Level,1.26900005340576,NA
2011-07-13,Level,1.36000001430511,NA
2011-07-14,Level,1.35199999809265,A
2011-07-15,Level,1.29200005531311,NA
2011-07-16,Level,1.24199998378754,NA
2011-07-17,Level,1.38300001621246,NA
2011-07-18,Level,1.29999995231628,NA
2011-07-19,Level,1.2610000371933,NA
2011-07-20,Level,1.26900005340576,NA
2011-07-21,Level,1.25999999046326,NA
2011-07-22,Level,1.22300004959106,NA
2011-07-23,Level,1.20000004768372,NA
2011-07-24,Level,1.22399997711182,A
2011-07-25,Level,1.21300005912781,NA
2011-07-26,Level,1.19500005245209,NA
2011-07-27,Level,1.17799997329712,NA
2011-07-28,Level,1.19500005245209,NA
2011-07-29,Level,1.20000004768372,NA
2011-07-30,Level,1.22800004482269,NA
2011-07-31,Level,1.17700004577637,NA
2011-08-01,Level,1.13800001144409,NA
2011-08-02,Level,1.12000000476837,NA
2011-08-03,Level,1.13100004196167,NA
2011-08-04,Level,1.15299999713898,NA
2011-08-05,Level,1.182000041008,NA
2011-08-06,Level,1.12399995326996,NA
2011-08-07,Level,1.09500002861023,NA
2011-08-08,Level,1.08399999141693,NA
2011-08-09,Level,1.09500002861023,NA
2011-08-10,Level,1.10800004005432,NA
2011-08-11,Level,1.08800005912781,NA
2011-08-12,Level,1.04299998283386,NA
2011-08-13,Level,1.07799994945526,NA
2011-08-14,Level,1.06900000572205,NA
2011-08-15,Level,1.03299999237061,NA
2011-08-16,Level,1.02499997615814,NA
2011-08-17,Level,1.02699995040894,NA
2011-08-18,Level,1.03100001811981,NA
2011-08-19,Level,1.02400004863739,NA
2011-08-20,Level,1.14499998092651,NA
2011-08-21,Level,1.3639999628067,NA
2011-08-22,Level,1.17599999904633,NA
2011-08-23,Level,1.10099995136261,NA
2011-08-24,Level,1.13999998569489,NA
2011-08-25,Level,1.01900005340576,NA
2011-08-26,Level,0.972000002861023,NA
2011-08-27,Level,0.992999970912933,NA
2011-08-28,Level,1.01499998569489,NA
2011-08-29,Level,1.02300000190735,NA
2011-08-30,Level,0.977999985218048,NA
2011-08-31,Level,0.939000010490418,NA
2011-09-01,Level,0.938000023365021,NA
2011-09-02,Level,0.930000007152557,NA
2011-09-03,Level,0.930000007152557,NA
2011-09-04,Level,1.02199995517731,NA
2011-09-05,Level,1.12199997901917,NA
2011-09-06,Level,1.15799999237061,NA
2011-09-07,Level,1.15799999237061,NA
2011-09-08,Level,1.0809999704361,NA
2011-09-09,Level,1.03900003433228,NA
2011-09-10,Level,0.998000025749206,NA
2011-09-11,Level,0.967999994754791,NA
2011-09-12,Level,0.950999975204468,NA
2011-09-13,Level,0.935999989509582,NA
2011-09-14,Level,0.919000029563904,NA
2011-09-15,Level,0.927999973297119,NA
2011-09-16,Level,0.907999992370606,NA
2011-09-17,Level,0.880999982357025,NA
2011-09-18,Level,0.990000009536743,NA
2011-09-19,Level,0.934000015258789,NA
2011-09-20,Level,0.998000025749206,NA
2011-09-21,Level,1.44900000095367,NA
