Date,Parameter,Level_m,Symbol
2011-01-01,Level,1.82099997997284,NA
2011-01-02,Level,1.81299996376038,NA
2011-01-03,Level,1.81299996376038,NA
2011-01-04,Level,1.81400001049042,NA
2011-01-05,Level,1.81700003147125,NA
2011-01-06,Level,1.817999958992,NA
2011-01-07,Level,1.82700002193451,NA
2011-01-08,Level,1.82299995422363,NA
2011-01-09,Level,1.81900000572205,NA
2011-01-10,Level,1.81500005722046,NA
2011-01-11,Level,1.807000041008,NA
2011-01-12,Level,1.80099999904633,NA
2011-01-13,Level,1.80099999904633,NA
2011-01-14,Level,1.7960000038147,NA
2011-01-15,Level,1.79799997806549,NA
2011-01-16,Level,1.79799997806549,NA
2011-01-17,Level,1.807000041008,NA
2011-01-18,Level,1.807000041008,NA
2011-01-19,Level,1.80099999904633,NA
2011-01-20,Level,1.80400002002716,NA
2011-01-21,Level,1.80499994754791,NA
2011-01-22,Level,1.79999995231628,NA
2011-01-23,Level,1.79200005531311,NA
2011-01-24,Level,1.78799998760223,NA
2011-01-25,Level,1.78600001335144,NA
2011-01-26,Level,1.78400003910065,NA
2011-01-27,Level,1.79200005531311,NA
2011-01-28,Level,1.78299999237061,NA
2011-01-29,Level,1.77600002288818,NA
2011-01-30,Level,1.77300000190735,NA
2011-01-31,Level,1.76499998569489,NA
2011-02-01,Level,1.75999999046326,NA
2011-02-02,Level,1.75800001621246,NA
2011-02-03,Level,1.75899994373322,NA
2011-02-04,Level,1.77100002765656,NA
2011-02-05,Level,1.76300001144409,NA
2011-02-06,Level,1.75399994850159,NA
2011-02-07,Level,1.77199995517731,NA
2011-02-08,Level,1.76900005340576,NA
2011-02-09,Level,1.77300000190735,NA
2011-02-10,Level,1.76999998092651,NA
2011-02-11,Level,1.76300001144409,NA
2011-02-12,Level,1.76400005817413,NA
2011-02-13,Level,1.75899994373322,NA
2011-02-14,Level,1.75600004196167,NA
2011-02-15,Level,1.75399994850159,NA
2011-02-16,Level,1.75399994850159,NA
2011-02-17,Level,1.75100004673004,NA
2011-02-18,Level,1.75399994850159,NA
2011-02-19,Level,1.75,NA
2011-02-20,Level,1.74899995326996,NA
2011-02-21,Level,1.75300002098083,NA
2011-02-22,Level,1.75,NA
2011-02-23,Level,1.74800002574921,NA
2011-02-24,Level,1.74899995326996,NA
2011-02-25,Level,1.74800002574921,NA
2011-02-26,Level,1.74699997901917,NA
2011-02-27,Level,1.73800003528595,NA
2011-02-28,Level,1.74399995803833,NA
2011-03-01,Level,1.74199998378754,NA
