Date,Parameter,Level_m,Symbol
2011-01-01,Level,3.23399996757507,NA
2011-01-02,Level,3.23200011253357,NA
2011-01-03,Level,3.23200011253357,NA
2011-01-04,Level,3.23399996757507,NA
2011-01-05,Level,3.2409999370575,NA
2011-01-06,Level,3.24900007247925,NA
2011-01-07,Level,3.25399994850159,NA
2011-01-08,Level,3.26300001144409,NA
2011-01-09,Level,3.26200008392334,NA
2011-01-10,Level,3.25300002098083,NA
2011-01-11,Level,3.24399995803833,NA
2011-01-12,Level,3.24000000953674,NA
2011-01-13,Level,3.23699998855591,NA
2011-01-14,Level,3.23600006103516,NA
2011-01-15,Level,3.23699998855591,NA
2011-01-16,Level,3.23300004005432,NA
2011-01-17,Level,3.23900008201599,NA
2011-01-18,Level,3.24900007247925,NA
2011-01-19,Level,3.26600003242493,NA
2011-01-20,Level,3.28200006484985,NA
2011-01-21,Level,3.28699994087219,NA
2011-01-22,Level,3.29699993133545,NA
2011-01-23,Level,3.30200004577637,NA
2011-01-24,Level,3.29800009727478,NA
2011-01-25,Level,3.29500007629395,NA
2011-01-26,Level,3.2960000038147,NA
2011-01-27,Level,3.30200004577637,NA
2011-01-28,Level,3.31500005722046,NA
2011-01-29,Level,3.31599998474121,NA
2011-01-30,Level,3.30900001525879,NA
2011-01-31,Level,3.29099988937378,NA
2011-02-01,Level,3.27300000190735,NA
2011-02-02,Level,3.26900005340576,NA
2011-02-03,Level,3.27600002288818,NA
2011-02-04,Level,3.28900003433228,NA
2011-02-05,Level,3.29999995231628,NA
2011-02-06,Level,3.30800008773804,NA
2011-02-07,Level,3.31500005722046,NA
2011-02-08,Level,3.32399988174438,NA
2011-02-09,Level,3.33200001716614,NA
2011-02-10,Level,3.34100008010864,NA
2011-02-11,Level,3.35999989509583,NA
2011-02-12,Level,3.37299990653992,NA
2011-02-13,Level,3.34599995613098,NA
2011-02-14,Level,3.33200001716614,NA
2011-02-15,Level,3.3289999961853,NA
2011-02-16,Level,3.32999992370605,NA
2011-02-17,Level,3.3289999961853,NA
2011-02-18,Level,3.32200002670288,NA
2011-02-19,Level,3.31699991226196,A
2011-02-20,Level,3.31299996376038,NA
2011-02-21,Level,3.30999994277954,NA
2011-02-22,Level,3.30599999427795,NA
2011-02-23,Level,3.30200004577637,NA
2011-02-24,Level,3.29500007629395,NA
2011-02-25,Level,3.29200005531311,NA
2011-02-26,Level,3.29399991035461,NA
2011-02-27,Level,3.29699993133545,NA
2011-02-28,Level,3.29800009727478,NA
2011-03-01,Level,3.2960000038147,NA
2011-03-02,Level,3.29299998283386,NA
2011-03-03,Level,3.29399991035461,NA
2011-03-04,Level,3.29500007629395,NA
2011-03-05,Level,3.29299998283386,NA
2011-03-06,Level,3.29299998283386,NA
2011-03-07,Level,3.29099988937378,NA
2011-03-08,Level,3.28900003433228,NA
2011-03-09,Level,3.28800010681152,NA
2011-03-10,Level,3.29099988937378,NA
2011-03-11,Level,3.29399991035461,NA
2011-03-12,Level,3.29399991035461,NA
2011-03-13,Level,3.29399991035461,NA
2011-03-14,Level,3.29500007629395,NA
2011-03-15,Level,3.29900002479553,NA
2011-03-16,Level,3.30399990081787,NA
2011-03-17,Level,3.3050000667572,NA
2011-03-18,Level,3.29999995231628,NA
2011-03-19,Level,3.29699993133545,NA
2011-03-20,Level,3.29299998283386,NA
2011-03-21,Level,3.29099988937378,NA
2011-03-22,Level,3.28800010681152,NA
2011-03-23,Level,3.28600001335144,NA
2011-03-24,Level,3.28699994087219,NA
2011-03-25,Level,3.28800010681152,NA
2011-03-26,Level,3.28999996185303,NA
2011-03-27,Level,3.29099988937378,NA
2011-03-28,Level,3.29699993133545,NA
2011-03-29,Level,3.3050000667572,NA
2011-03-30,Level,3.34899997711182,NA
2011-03-31,Level,3.39299988746643,NA
2011-04-01,Level,3.39499998092651,NA
2011-04-02,Level,3.40400004386902,NA
2011-04-03,Level,3.44600009918213,NA
2011-04-04,Level,3.46000003814697,NA
2011-04-05,Level,3.46199989318848,NA
2011-04-06,Level,3.43799996376038,NA
2011-04-07,Level,3.39800000190735,NA
2011-04-08,Level,3.41000008583069,NA
2011-04-09,Level,3.42600011825562,NA
2011-04-10,Level,3.41700005531311,NA
2011-04-11,Level,3.42400002479553,NA
2011-04-12,Level,3.4449999332428,NA
2011-04-13,Level,3.44600009918213,NA
2011-04-14,Level,3.49900007247925,NA
2011-04-15,Level,3.59100008010864,NA
2011-04-16,Level,3.58299994468689,NA
2011-04-17,Level,3.58800005912781,NA
2011-04-18,Level,3.56100010871887,NA
2011-04-19,Level,3.67799997329712,NA
2011-04-20,Level,3.76200008392334,NA
2011-04-21,Level,3.77500009536743,NA
2011-04-22,Level,3.7960000038147,NA
2011-04-23,Level,3.81800007820129,NA
2011-04-24,Level,3.92499995231628,NA
2011-04-25,Level,3.98399996757507,NA
2011-04-26,Level,3.92400002479553,NA
2011-04-27,Level,3.72699999809265,NA
