"","Station","Date","Parameter","Value","Symbol"
"1","08JC001",1955-01-01,"Flow",NA,"M"
"2","08JC001",1955-01-02,"Flow",NA,"M"
"3","08JC001",1955-01-03,"Flow",NA,"M"
"4","08JC001",1955-01-04,"Flow",NA,"M"
"5","08JC001",1955-01-05,"Flow",NA,"M"
"6","08JC001",1955-01-06,"Flow",NA,"M"
"7","08JC001",1955-01-07,"Flow",NA,"M"
"8","08JC001",1955-01-08,"Flow",NA,"M"
"9","08JC001",1955-01-09,"Flow",NA,"M"
"10","08JC001",1955-01-10,"Flow",NA,"M"
"11","08JC001",1955-01-11,"Flow",NA,"M"
"12","08JC001",1955-01-12,"Flow",NA,"M"
"13","08JC001",1955-01-13,"Flow",NA,"M"
"14","08JC001",1955-01-14,"Flow",NA,"M"
"15","08JC001",1955-01-15,"Flow",NA,"M"
"16","08JC001",1955-01-16,"Flow",NA,"M"
"17","08JC001",1955-01-17,"Flow",NA,"M"
"18","08JC001",1955-01-18,"Flow",NA,"M"
"19","08JC001",1955-01-19,"Flow",NA,"M"
"20","08JC001",1955-01-20,"Flow",NA,"M"
"21","08JC001",1955-01-21,"Flow",NA,"M"
"22","08JC001",1955-01-22,"Flow",NA,"M"
"23","08JC001",1955-01-23,"Flow",NA,"M"
"24","08JC001",1955-01-24,"Flow",NA,"M"
"25","08JC001",1955-01-25,"Flow",NA,"M"
"26","08JC001",1955-01-26,"Flow",NA,"M"
"27","08JC001",1955-01-27,"Flow",NA,"M"
"28","08JC001",1955-01-28,"Flow",161.205970755178,"S"
"29","08JC001",1955-01-29,"Flow",160.582530417941,"S"
"30","08JC001",1955-01-30,"Flow",159.229531418939,"S"
"31","08JC001",1955-01-31,"Flow",158.059971433619,"S"
"32","08JC001",1955-02-01,"Flow",155.244617998414,"S"
"33","08JC001",1955-02-02,"Flow",152.61658958344,"S"
"34","08JC001",1955-02-03,"Flow",150.093382406649,"S"
"35","08JC001",1955-02-04,"Flow",148.235030117059,"S"
"36","08JC001",1955-02-05,"Flow",146.375706164795,"S"
"37","08JC001",1955-02-06,"Flow",144.252706064501,"S"
"38","08JC001",1955-02-07,"Flow",142.565176894412,"S"
"39","08JC001",1955-02-08,"Flow",141.054940605767,"S"
"40","08JC001",1955-02-09,"Flow",138.086559121176,"S"
"41","08JC001",1955-02-10,"Flow",135.586646478414,"S"
"42","08JC001",1955-02-11,"Flow",133.611177435998,"S"
"43","08JC001",1955-02-12,"Flow",132.335499606266,"S"
"44","08JC001",1955-02-13,"Flow",131.570029892852,"S"
"45","08JC001",1955-02-14,"Flow",131.031352992941,"S"
"46","08JC001",1955-02-15,"Flow",129.517558113708,"S"
"47","08JC001",1955-02-16,"Flow",127.179412404323,"S"
"48","08JC001",1955-02-17,"Flow",124.372470156649,"S"
"49","08JC001",1955-02-18,"Flow",121.044001026881,"S"
"50","08JC001",1955-02-19,"Flow",118.102793795089,"S"
"51","08JC001",1955-02-20,"Flow",115.528147420205,"S"
"52","08JC001",1955-02-21,"Flow",114.047676005677,"S"
"53","08JC001",1955-02-22,"Flow",112.623824358939,"S"
"54","08JC001",1955-02-23,"Flow",111.303500296675,"S"
"55","08JC001",1955-02-24,"Flow",110.544175986266,"S"
"56","08JC001",1955-02-25,"Flow",110.184410821943,"S"
"57","08JC001",1955-02-26,"Flow",110.232293035767,"S"
"58","08JC001",1955-02-27,"Flow",110.508588295793,"S"
"59","08JC001",1955-02-28,"Flow",110.746058642353,"S"
"60","08JC001",1955-03-01,"Flow",110.031705394795,"S"
"61","08JC001",1955-03-02,"Flow",108.880912396881,"S"
"62","08JC001",1955-03-03,"Flow",107.649883007763,"S"
"63","08JC001",1955-03-04,"Flow",106.108588780116,"S"
"64","08JC001",1955-03-05,"Flow",104.088793290383,"S"
"65","08JC001",1955-03-06,"Flow",102.609939884296,"S"
"66","08JC001",1955-03-07,"Flow",101.921794539528,"S"
"67","08JC001",1955-03-08,"Flow",101.145646441854,"S"
"68","08JC001",1955-03-09,"Flow",100.753853660704,"S"
"69","08JC001",1955-03-10,"Flow",100.552941554028,"S"
"70","08JC001",1955-03-11,"Flow",100.530941544323,"S"
"71","08JC001",1955-03-12,"Flow",99.8809697166489,"S"
"72","08JC001",1955-03-13,"Flow",98.3969412023529,"S"
"73","08JC001",1955-03-14,"Flow",96.1629714404099,"S"
"74","08JC001",1955-03-15,"Flow",95.1283235326471,"S"
"75","08JC001",1955-03-16,"Flow",94.2496172856775,"S"
"76","08JC001",1955-03-17,"Flow",93.3301476207931,"S"
"77","08JC001",1955-03-18,"Flow",92.7714110775313,"S"
"78","08JC001",1955-03-19,"Flow",92.1133521278254,"S"
"79","08JC001",1955-03-20,"Flow",91.3689108834136,"S"
"80","08JC001",1955-03-21,"Flow",90.961910821943,"S"
"81","08JC001",1955-03-22,"Flow",91.547500735704,"S"
"82","08JC001",1955-03-23,"Flow",92.096853660704,"S"
"83","08JC001",1955-03-24,"Flow",92.2696183698217,"S"
"84","08JC001",1955-03-25,"Flow",92.0036762894118,"S"
"85","08JC001",1955-03-26,"Flow",91.1553822558824,"S"
"86","08JC001",1955-03-27,"Flow",89.9854994153833,"S"
"87","08JC001",1955-03-28,"Flow",89.284087146943,"S"
"88","08JC001",1955-03-29,"Flow",89.1488518431195,"S"
"89","08JC001",1955-03-30,"Flow",89.4377636175313,"S"
"90","08JC001",1955-03-31,"Flow",89.726675391943,"S"
"91","08JC001",1955-04-01,"Flow",89.5784991090019,"S"
"92","08JC001",1955-04-02,"Flow",89.2840873928254,"S"
"93","08JC001",1955-04-03,"Flow",88.3532931360607,"S"
"94","08JC001",1955-04-04,"Flow",88.0106754857666,"S"
"95","08JC001",1955-04-05,"Flow",87.7622048878254,"S"
"96","08JC001",1955-04-06,"Flow",87.5062931295901,"S"
"97","08JC001",1955-04-07,"Flow",87.285322977148,"S"
"98","08JC001",1955-04-08,"Flow",86.7291759603833,"S"
"99","08JC001",1955-04-09,"Flow",86.6298529347059,"S"
"100","08JC001",1955-04-10,"Flow",86.8026176438235,"S"
"101","08JC001",1955-04-11,"Flow",87.7162653736452,"S"
"102","08JC001",1955-04-12,"Flow",88.0440005804099,"S"
"103","08JC001",1955-04-13,"Flow",88.6295870401783,"S"
"104","08JC001",1955-04-14,"Flow",89.2850588096167,"S"
"105","08JC001",1955-04-15,"Flow",90.465293967852,"S"
"106","08JC001",1955-04-16,"Flow",92.3864107853833,"S"
"107","08JC001",1955-04-17,"Flow",94.9452048480304,"S"
"108","08JC001",1955-04-18,"Flow",96.5356767889393,"S"
"109","08JC001",1955-04-19,"Flow",97.5784116957932,"S"
"110","08JC001",1955-04-20,"Flow",98.7958515487077,"S"
"111","08JC001",1955-04-21,"Flow",99.3969696250892,"S"
"112","08JC001",1955-04-22,"Flow",99.6334691763548,"S"
"113","08JC001",1955-04-23,"Flow",99.7777646207931,"S"
"114","08JC001",1955-04-24,"Flow",100.631881699412,"S"
"115","08JC001",1955-04-25,"Flow",102.232380876355,"S"
"116","08JC001",1955-04-26,"Flow",104.126646421471,"S"
"117","08JC001",1955-04-27,"Flow",105.392940519706,"S"
"118","08JC001",1955-04-28,"Flow",107.551528780882,"S"
"119","08JC001",1955-04-29,"Flow",110.527352284412,"S"
"120","08JC001",1955-04-30,"Flow",113.057998397237,"S"
"121","08JC001",1955-05-01,"Flow",115.075205457558,"S"
"122","08JC001",1955-05-02,"Flow",116.896352929528,"S"
"123","08JC001",1955-05-03,"Flow",118.528234388235,"S"
"124","08JC001",1955-05-04,"Flow",120.048498655089,"S"
"125","08JC001",1955-05-05,"Flow",122.588851850882,"S"
"126","08JC001",1955-05-06,"Flow",125.325909641061,"S"
"127","08JC001",1955-05-07,"Flow",129.839145683824,"S"
"128","08JC001",1955-05-08,"Flow",135.026940488645,"S"
"129","08JC001",1955-05-09,"Flow",139.446028600998,"S"
"130","08JC001",1955-05-10,"Flow",145.894617811408,"S"
"131","08JC001",1955-05-11,"Flow",154.977380222825,"S"
"132","08JC001",1955-05-12,"Flow",163.700058798939,"S"
"133","08JC001",1955-05-13,"Flow",172.535645994412,"S"
"134","08JC001",1955-05-14,"Flow",175.68520624082,"S"
