Hylak_id,Lake_name,Elevation_m,Volume_m3,Volume_Mm3,Method
591,Nechako Reservoir,830,12411554581.8123,12411.5545818123,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,830.25,12538245582.307,12538.245582307,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,830.5,12665364739.6196,12665.3647396196,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,830.75,12792910616.4795,12792.9106164795,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,831,12920881789.9942,12920.8817899942,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,831.25,13049276851.4108,13049.2768514108,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,831.5,13178094405.8835,13178.0944058835,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,831.75,13307333072.2461,13307.3330722461,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,832,13436991482.7901,13436.9914827901,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,832.25,13567068283.0476,13567.0682830476,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,832.5,13697562131.5785,13697.5621315785,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,832.75,13828471699.7637,13828.4716997637,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,833,13959795671.6017,13959.7956716017,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,833.25,14091532743.5103,14091.5327435103,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,833.5,14223681624.1323,14223.6816241323,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,833.75,14356241034.1461,14356.2410341461,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,834,14489209706.0793,14489.2097060793,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,834.25,14622586384.1271,14622.5863841271,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,834.5,14756369823.9747,14756.3698239747,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,834.75,14890558792.6228,14890.5587926228,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,835,15025152068.2171,15025.152068217,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,835.25,15160148439.8816,15160.1484398816,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,835.5,15295546707.5552,15295.5467075552,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,835.75,15431345681.8316,15431.3456818316,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,836,15567544183.8023,15567.5441838023,HydroLAKES_parabolic_estimate
