STATION_ID,STATION_NAME,PERIOD,used_stnID,temp_rows,precip_rows,note
599,KALDER LAKE,1991_2020,599,0,0,resolve_none_found
599,KALDER LAKE,1981_2010,599,0,0,resolve_none_found
599,KALDER LAKE,1971_2000,599,0,0,resolve_none_found
599,KALDER LAKE,1961_1990,599,0,0,resolve_none_found
599,KALDER LAKE,1951_1980,599,0,0,resolve_none_found
599,KALDER LAKE,1941_1970,599,0,0,resolve_none_found
599,KALDER LAKE,1931_1960,599,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1991_2020,465,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1981_2010,465,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1971_2000,465,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1961_1990,465,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1951_1980,465,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1941_1970,465,0,0,resolve_none_found
465,GRANISLE COPPER LTD,1931_1960,465,0,0,resolve_none_found
496,TOPLEY LANDING,1991_2020,496,0,0,resolve_none_found
496,TOPLEY LANDING,1981_2010,496,0,0,resolve_none_found
496,TOPLEY LANDING,1971_2000,496,0,0,resolve_none_found
496,TOPLEY LANDING,1961_1990,496,0,0,resolve_none_found
496,TOPLEY LANDING,1951_1980,496,0,0,resolve_none_found
496,TOPLEY LANDING,1941_1970,496,0,0,resolve_none_found
496,TOPLEY LANDING,1931_1960,496,0,0,resolve_none_found
464,FULTON LAKE,1991_2020,464,0,0,resolve_none_found
464,FULTON LAKE,1981_2010,464,0,0,resolve_none_found
464,FULTON LAKE,1971_2000,464,0,0,resolve_none_found
464,FULTON LAKE,1961_1990,464,0,0,resolve_none_found
464,FULTON LAKE,1951_1980,464,0,0,resolve_none_found
464,FULTON LAKE,1941_1970,464,0,0,resolve_none_found
464,FULTON LAKE,1931_1960,464,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1991_2020,495,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1981_2010,495,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1971_2000,495,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1961_1990,495,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1951_1980,495,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1941_1970,495,0,0,resolve_none_found
495,TELKWA WOODMERE RD,1931_1960,495,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1991_2020,494,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1981_2010,494,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1971_2000,494,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1961_1990,494,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1951_1980,494,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1941_1970,494,0,0,resolve_none_found
494,TELKWA ROUND LAKE,1931_1960,494,0,0,resolve_none_found
491,TELKWA,1991_2020,491,0,0,resolve_none_found
491,TELKWA,1981_2010,491,0,0,resolve_none_found
491,TELKWA,1971_2000,491,0,0,resolve_none_found
491,TELKWA,1961_1990,491,0,0,resolve_none_found
491,TELKWA,1951_1980,491,0,0,resolve_none_found
491,TELKWA,1941_1970,491,0,0,resolve_none_found
491,TELKWA,1931_1960,491,0,0,resolve_none_found
652,TACHIE 1SE,1991_2020,652,0,0,resolve_none_found
652,TACHIE 1SE,1981_2010,652,0,0,resolve_none_found
652,TACHIE 1SE,1971_2000,652,0,0,resolve_none_found
652,TACHIE 1SE,1961_1990,652,0,0,resolve_none_found
652,TACHIE 1SE,1951_1980,652,0,0,resolve_none_found
652,TACHIE 1SE,1941_1970,652,0,0,resolve_none_found
652,TACHIE 1SE,1931_1960,652,0,0,resolve_none_found
485,QUICK,1991_2020,485,0,0,resolve_none_found
