"date","year","month","n_days","tas_mean_C","pr_total_mm"
1980-01-01,1980,1,31,-13.3008903622322,100.853016119107
1980-02-01,1980,2,29,-15.3319785949109,82.8511385792228
1980-03-01,1980,3,31,-9.88834548008965,67.8617947676283
1980-04-01,1980,4,30,-4.57240136496136,53.3033982273315
1980-05-01,1980,5,31,0.369679331397873,90.6617708071528
1980-06-01,1980,6,30,6.15046115521461,150.567569995902
1980-07-01,1980,7,31,11.4160340123027,102.146611187845
1980-08-01,1980,8,31,11.3131231028983,66.1250595575599
1980-09-01,1980,9,30,5.2100793254617,108.502957668567
1980-10-01,1980,10,31,0.16078678842552,117.544049433316
1980-11-01,1980,11,30,-4.12559503345191,122.031918531231
1980-12-01,1980,12,31,-15.1602941315818,96.4280906628313
1981-01-01,1981,1,31,-15.7485366812929,95.7067738278297
1981-02-01,1981,2,28,-10.0779755086007,54.2139444638089
1981-03-01,1981,3,31,-6.04050478350431,74.5320559856951
1981-04-01,1981,4,30,-4.62117160622085,104.411177500099
1981-05-01,1981,5,31,1.05887381972369,79.0603466811666
1981-06-01,1981,6,30,6.42503231527425,114.981230020785
1981-07-01,1981,7,31,11.6150197951553,136.14094858589
1981-08-01,1981,8,31,10.8862260211093,88.0719836544055
1981-09-01,1981,9,30,7.99508174256563,115.616566141335
1981-10-01,1981,10,31,0.935895169683505,114.992171803899
1981-11-01,1981,11,30,-4.24137117577679,94.9801989212297
1981-12-01,1981,12,31,-9.00627896172313,107.409755396516
1982-01-01,1982,1,31,-15.7142757008796,90.0050235440701
1982-02-01,1982,2,28,-21.7846962494264,55.9300966933289
1982-03-01,1982,3,31,-13.9203161954626,75.3730271892027
1982-04-01,1982,4,30,-6.39877860206046,110.891547221526
1982-05-01,1982,5,31,-0.457730807259223,85.7574798566166
1982-06-01,1982,6,30,5.43477060614664,71.616387884049
1982-07-01,1982,7,31,11.7954485285254,114.507816667748
1982-08-01,1982,8,31,10.100261738482,131.275230821303
1982-09-01,1982,9,30,5.61533808446997,80.8970763232776
1982-10-01,1982,10,31,-1.7876578443224,45.6466759512584
1982-11-01,1982,11,30,-6.33812602108126,68.223879676884
1982-12-01,1982,12,31,-17.7718671703823,87.4557668117479
1983-01-01,1983,1,31,-20.2164730937536,46.2070216986566
1983-02-01,1983,2,28,-18.690595368004,72.7400339536953
1983-03-01,1983,3,31,-11.836419073532,148.744542571989
1983-04-01,1983,4,30,-3.09167761734438,64.5164280954463
1983-05-01,1983,5,31,-0.360963111382466,50.6066092931436
1983-06-01,1983,6,30,7.83574800005281,94.3907701174619
1983-07-01,1983,7,31,12.1302698336948,138.834020179694
1983-08-01,1983,8,31,9.73492220548829,91.4201860248699
1983-09-01,1983,9,30,6.07363066656024,117.606087656863
1983-10-01,1983,10,31,-0.449747647385243,95.4953021462719
1983-11-01,1983,11,30,-6.15320565969717,147.185807261394
1983-12-01,1983,12,31,-14.8711759543266,100.468785257942
1984-01-01,1984,1,31,-24.1312873403366,36.4694238588035
1984-02-01,1984,2,29,-16.7610600526181,72.659749087053
1984-03-01,1984,3,31,-11.5529360252752,86.2738509921187
1984-04-01,1984,4,30,-7.16839115196721,38.2677270026288
1984-05-01,1984,5,31,0.676512444928252,87.3451240041792
1984-06-01,1984,6,30,5.69434962671481,108.585579376561
1984-07-01,1984,7,31,12.0636023503333,134.1802727526
1984-08-01,1984,8,31,12.1760944833108,36.7425243845913
