#Bulk Export - Points every 1 day(s),,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,
,,1B01P,
,,Mount Wells,
,,SW.Daily,Grade Code
Start of Interval (UTC),End of Interval (UTC),Average (mm),
1992-04-05 0:00,1992-04-06 0:00,NaN,-2
1992-04-06 0:00,1992-04-07 0:00,651,-1
1992-04-07 0:00,1992-04-08 0:00,657,-1
1992-04-08 0:00,1992-04-09 0:00,662,-1
1992-04-09 0:00,1992-04-10 0:00,665.3333333,-1
1992-04-10 0:00,1992-04-11 0:00,665.6666667,-1
1992-04-11 0:00,1992-04-12 0:00,655,-1
1992-04-12 0:00,1992-04-13 0:00,638,-1
1992-04-13 0:00,1992-04-14 0:00,635,-1
1992-04-14 0:00,1992-04-15 0:00,656.3333333,-1
1992-04-15 0:00,1992-04-16 0:00,670,-1
1992-04-16 0:00,1992-04-17 0:00,658.6666667,-1
1992-04-17 0:00,1992-04-18 0:00,641,-1
1992-04-18 0:00,1992-04-19 0:00,642,-1
1992-04-19 0:00,1992-04-20 0:00,640,-1
1992-04-20 0:00,1992-04-21 0:00,639,-1
1992-04-21 0:00,1992-04-22 0:00,638,-1
1992-04-22 0:00,1992-04-23 0:00,641,-1
1992-04-23 0:00,1992-04-24 0:00,642,-1
1992-04-24 0:00,1992-04-25 0:00,638,-1
1992-04-25 0:00,1992-04-26 0:00,626,-1
1992-04-26 0:00,1992-04-27 0:00,606.6666667,-1
1992-04-27 0:00,1992-04-28 0:00,600,-1
1992-04-28 0:00,1992-04-29 0:00,597,-1
1992-04-29 0:00,1992-04-30 0:00,592,-1
1992-04-30 0:00,1992-05-01 0:00,592,-1
1992-05-01 0:00,1992-05-02 0:00,588,-1
1992-05-02 0:00,1992-05-03 0:00,587,-1
1992-05-03 0:00,1992-05-04 0:00,580,-1
1992-05-04 0:00,1992-05-05 0:00,561,-1
1992-05-05 0:00,1992-05-06 0:00,540.6666667,-1
1992-05-06 0:00,1992-05-07 0:00,533,-1
1992-05-07 0:00,1992-05-08 0:00,527,-1
1992-05-08 0:00,1992-05-09 0:00,528,-1
1992-05-09 0:00,1992-05-10 0:00,529,-1
1992-05-10 0:00,1992-05-11 0:00,532.3333333,-1
1992-05-11 0:00,1992-05-12 0:00,546,-1
1992-05-12 0:00,1992-05-13 0:00,550,-1
1992-05-13 0:00,1992-05-14 0:00,537.6666667,-1
1992-05-14 0:00,1992-05-15 0:00,516,-1
1992-05-15 0:00,1992-05-16 0:00,500,-1
1992-05-16 0:00,1992-05-17 0:00,481.6666667,-1
1992-05-17 0:00,1992-05-18 0:00,469,-1
1992-05-18 0:00,1992-05-19 0:00,470,-1
1992-05-19 0:00,1992-05-20 0:00,469,-1
1992-05-20 0:00,1992-05-21 0:00,461,-1
1992-05-21 0:00,1992-05-22 0:00,455,-1
1992-05-22 0:00,1992-05-23 0:00,445,-1
1992-05-23 0:00,1992-05-24 0:00,424.6666667,-1
1992-05-24 0:00,1992-05-25 0:00,397,-1
1992-05-25 0:00,1992-05-26 0:00,367,-1
1992-05-26 0:00,1992-05-27 0:00,344.6666667,-1
1992-05-27 0:00,1992-05-28 0:00,325,-1
1992-05-28 0:00,1992-05-29 0:00,300.6666667,-1
1992-05-29 0:00,1992-05-30 0:00,274,-1
1992-05-30 0:00,1992-05-31 0:00,251,-1
1992-05-31 0:00,1992-06-01 0:00,221.6666667,-1
1992-06-01 0:00,1992-06-02 0:00,201,-1
1992-06-02 0:00,1992-06-03 0:00,183,-1
1992-06-03 0:00,1992-06-04 0:00,158.6666667,-1
1992-06-04 0:00,1992-06-05 0:00,119.6666667,-1
