,,SW.Daily,Grade Code
Start of Interval (UTC),End of Interval (UTC),Average (mm),
05/04/1992 00:00,06/04/1992 00:00,NaN,-2
06/04/1992 00:00,07/04/1992 00:00,1516,-1
07/04/1992 00:00,08/04/1992 00:00,1526,-1
08/04/1992 00:00,09/04/1992 00:00,1528,-1
09/04/1992 00:00,10/04/1992 00:00,1525,-1
10/04/1992 00:00,11/04/1992 00:00,1528,-1
11/04/1992 00:00,12/04/1992 00:00,1524,-1
12/04/1992 00:00,13/04/1992 00:00,1509,-1
13/04/1992 00:00,14/04/1992 00:00,1506,-1
14/04/1992 00:00,15/04/1992 00:00,1517,-1
15/04/1992 00:00,16/04/1992 00:00,1521,-1
16/04/1992 00:00,17/04/1992 00:00,1491.6666666666667,-1
17/04/1992 00:00,18/04/1992 00:00,1465,-1
18/04/1992 00:00,19/04/1992 00:00,1481,-1
19/04/1992 00:00,20/04/1992 00:00,1481,-1
20/04/1992 00:00,21/04/1992 00:00,1479,-1
21/04/1992 00:00,22/04/1992 00:00,1472,-1
22/04/1992 00:00,23/04/1992 00:00,1472,-1
23/04/1992 00:00,24/04/1992 00:00,1484,-1
24/04/1992 00:00,25/04/1992 00:00,1484,-1
25/04/1992 00:00,26/04/1992 00:00,1475,-1
26/04/1992 00:00,27/04/1992 00:00,1455,-1
27/04/1992 00:00,28/04/1992 00:00,1457,-1
28/04/1992 00:00,29/04/1992 00:00,1461,-1
29/04/1992 00:00,30/04/1992 00:00,1440,-1
30/04/1992 00:00,01/05/1992 00:00,1430,-1
01/05/1992 00:00,02/05/1992 00:00,1434,-1
02/05/1992 00:00,03/05/1992 00:00,1443,-1
03/05/1992 00:00,04/05/1992 00:00,1438.6666666666667,-1
04/05/1992 00:00,05/05/1992 00:00,1419,-1
05/05/1992 00:00,06/05/1992 00:00,1404,-1
06/05/1992 00:00,07/05/1992 00:00,1399,-1
07/05/1992 00:00,08/05/1992 00:00,1397,-1
08/05/1992 00:00,09/05/1992 00:00,1401,-1
09/05/1992 00:00,10/05/1992 00:00,1386,-1
10/05/1992 00:00,11/05/1992 00:00,1370,-1
11/05/1992 00:00,12/05/1992 00:00,1370,-1
12/05/1992 00:00,13/05/1992 00:00,1376,-1
13/05/1992 00:00,14/05/1992 00:00,1363.6666666666667,-1
14/05/1992 00:00,15/05/1992 00:00,1346,-1
15/05/1992 00:00,16/05/1992 00:00,1342,-1
16/05/1992 00:00,17/05/1992 00:00,1332,-1
17/05/1992 00:00,18/05/1992 00:00,1318,-1
18/05/1992 00:00,19/05/1992 00:00,1311,-1
19/05/1992 00:00,20/05/1992 00:00,1296.6666666666667,-1
20/05/1992 00:00,21/05/1992 00:00,1278,-1
21/05/1992 00:00,22/05/1992 00:00,1270,-1
22/05/1992 00:00,23/05/1992 00:00,1260,-1
23/05/1992 00:00,24/05/1992 00:00,1253,-1
24/05/1992 00:00,25/05/1992 00:00,1237.6666666666667,-1
25/05/1992 00:00,26/05/1992 00:00,1211,-1
26/05/1992 00:00,27/05/1992 00:00,1189,-1
27/05/1992 00:00,28/05/1992 00:00,1166.6666666666667,-1
28/05/1992 00:00,29/05/1992 00:00,1141,-1
29/05/1992 00:00,30/05/1992 00:00,1126,-1
30/05/1992 00:00,31/05/1992 00:00,1108.6666666666667,-1
31/05/1992 00:00,01/06/1992 00:00,1084,-1
01/06/1992 00:00,02/06/1992 00:00,1060,-1
02/06/1992 00:00,03/06/1992 00:00,1045.6666666666667,-1
03/06/1992 00:00,04/06/1992 00:00,1028,-1
04/06/1992 00:00,05/06/1992 00:00,1012,-1
05/06/1992 00:00,06/06/1992 00:00,988.6666666666666,-1
06/06/1992 00:00,07/06/1992 00:00,957,-1
07/06/1992 00:00,08/06/1992 00:00,936,-1
08/06/1992 00:00,09/06/1992 00:00,920.6666666666666,-1
09/06/1992 00:00,10/06/1992 00:00,894,-1
10/06/1992 00:00,11/06/1992 00:00,874,-1
11/06/1992 00:00,12/06/1992 00:00,858.6666666666666,-1
12/06/1992 00:00,13/06/1992 00:00,836,-1
13/06/1992 00:00,14/06/1992 00:00,810.6666666666666,-1
14/06/1992 00:00,15/06/1992 00:00,783,-1
15/06/1992 00:00,16/06/1992 00:00,758,-1
16/06/1992 00:00,17/06/1992 00:00,736.6666666666666,-1
17/06/1992 00:00,18/06/1992 00:00,713,-1
18/06/1992 00:00,19/06/1992 00:00,682.6666666666666,-1
19/06/1992 00:00,20/06/1992 00:00,646,-1
20/06/1992 00:00,21/06/1992 00:00,611.6666666666666,-1
21/06/1992 00:00,22/06/1992 00:00,581,-1
22/06/1992 00:00,23/06/1992 00:00,550.6666666666666,-1
23/06/1992 00:00,24/06/1992 00:00,518,-1
24/06/1992 00:00,25/06/1992 00:00,479.6666666666667,-1
25/06/1992 00:00,26/06/1992 00:00,434.6666666666667,-1
26/06/1992 00:00,27/06/1992 00:00,387,-1
27/06/1992 00:00,28/06/1992 00:00,342.6666666666667,-1
28/06/1992 00:00,29/06/1992 00:00,296.6666666666667,-1
29/06/1992 00:00,30/06/1992 00:00,245.66666666666666,-1
30/06/1992 00:00,01/07/1992 00:00,198,-1
01/07/1992 00:00,02/07/1992 00:00,155.66666666666666,-1
02/07/1992 00:00,03/07/1992 00:00,120,-1
03/07/1992 00:00,04/07/1992 00:00,85.66666666666667,-1
04/07/1992 00:00,05/07/1992 00:00,49.666666666666664,-1
05/07/1992 00:00,06/07/1992 00:00,23,-1
06/07/1992 00:00,07/07/1992 00:00,12,-1
07/07/1992 00:00,08/07/1992 00:00,4,-1
08/07/1992 00:00,09/07/1992 00:00,0,-1
09/07/1992 00:00,10/07/1992 00:00,0,-1
10/07/1992 00:00,11/07/1992 00:00,0,-1
11/07/1992 00:00,12/07/1992 00:00,0,-1
12/07/1992 00:00,13/07/1992 00:00,0,-1
13/07/1992 00:00,14/07/1992 00:00,0,-1
14/07/1992 00:00,15/07/1992 00:00,0,-1
15/07/1992 00:00,16/07/1992 00:00,0,-1
16/07/1992 00:00,17/07/1992 00:00,0,-1
17/07/1992 00:00,18/07/1992 00:00,0,-1
18/07/1992 00:00,19/07/1992 00:00,0,-1
19/07/1992 00:00,20/07/1992 00:00,0,-1
20/07/1992 00:00,21/07/1992 00:00,0,-1
21/07/1992 00:00,22/07/1992 00:00,0,-1
22/07/1992 00:00,23/07/1992 00:00,0,-1
23/07/1992 00:00,24/07/1992 00:00,0,-1
24/07/1992 00:00,25/07/1992 00:00,0,-1
25/07/1992 00:00,26/07/1992 00:00,0,-1
26/07/1992 00:00,27/07/1992 00:00,0,-1
27/07/1992 00:00,28/07/1992 00:00,0,-1
28/07/1992 00:00,29/07/1992 00:00,0,-1
29/07/1992 00:00,30/07/1992 00:00,0,-1
30/07/1992 00:00,31/07/1992 00:00,0,-1
31/07/1992 00:00,01/08/1992 00:00,0,-1
01/08/1992 00:00,02/08/1992 00:00,0,-1
02/08/1992 00:00,03/08/1992 00:00,0,-1
03/08/1992 00:00,04/08/1992 00:00,0,-1
04/08/1992 00:00,05/08/1992 00:00,0,-1
05/08/1992 00:00,06/08/1992 00:00,0,-1
06/08/1992 00:00,07/08/1992 00:00,0,-1
07/08/1992 00:00,08/08/1992 00:00,0,-1
08/08/1992 00:00,09/08/1992 00:00,0,-1
09/08/1992 00:00,10/08/1992 00:00,0,-1
10/08/1992 00:00,11/08/1992 00:00,0,-1
11/08/1992 00:00,12/08/1992 00:00,0,-1
12/08/1992 00:00,13/08/1992 00:00,0,-1
13/08/1992 00:00,14/08/1992 00:00,0,-1
14/08/1992 00:00,15/08/1992 00:00,0,-1
15/08/1992 00:00,16/08/1992 00:00,0,-1
16/08/1992 00:00,17/08/1992 00:00,0,-1
17/08/1992 00:00,18/08/1992 00:00,0,-1
18/08/1992 00:00,19/08/1992 00:00,0,-1
19/08/1992 00:00,20/08/1992 00:00,0,-1
20/08/1992 00:00,21/08/1992 00:00,0,-1
21/08/1992 00:00,22/08/1992 00:00,0,-1
22/08/1992 00:00,23/08/1992 00:00,0,-1
23/08/1992 00:00,24/08/1992 00:00,0,-1
24/08/1992 00:00,25/08/1992 00:00,0,-1
25/08/1992 00:00,26/08/1992 00:00,0,-1
26/08/1992 00:00,27/08/1992 00:00,0,-1
27/08/1992 00:00,28/08/1992 00:00,0,-1
28/08/1992 00:00,29/08/1992 00:00,0,-1
29/08/1992 00:00,30/08/1992 00:00,0,-1
30/08/1992 00:00,31/08/1992 00:00,0,-1
31/08/1992 00:00,01/09/1992 00:00,0,-1
01/09/1992 00:00,02/09/1992 00:00,0,-1
02/09/1992 00:00,03/09/1992 00:00,0,-1
03/09/1992 00:00,04/09/1992 00:00,0,-1
04/09/1992 00:00,05/09/1992 00:00,0,-1
05/09/1992 00:00,06/09/1992 00:00,0,-1
06/09/1992 00:00,07/09/1992 00:00,0,-1
07/09/1992 00:00,08/09/1992 00:00,0,-1
08/09/1992 00:00,09/09/1992 00:00,0,-1
09/09/1992 00:00,10/09/1992 00:00,0,-1
10/09/1992 00:00,11/09/1992 00:00,0,-1
11/09/1992 00:00,12/09/1992 00:00,0,-1
12/09/1992 00:00,13/09/1992 00:00,0,-1
13/09/1992 00:00,14/09/1992 00:00,0,-1
14/09/1992 00:00,15/09/1992 00:00,0,-1
15/09/1992 00:00,16/09/1992 00:00,0,-1
16/09/1992 00:00,17/09/1992 00:00,0,-1
17/09/1992 00:00,18/09/1992 00:00,0,-1
18/09/1992 00:00,19/09/1992 00:00,0,-1
19/09/1992 00:00,20/09/1992 00:00,0,-1
20/09/1992 00:00,21/09/1992 00:00,0,-1
21/09/1992 00:00,22/09/1992 00:00,0,-1
22/09/1992 00:00,23/09/1992 00:00,0,-1
23/09/1992 00:00,24/09/1992 00:00,0,-1
24/09/1992 00:00,25/09/1992 00:00,8,-1
25/09/1992 00:00,26/09/1992 00:00,22,-1
26/09/1992 00:00,27/09/1992 00:00,15,-1
27/09/1992 00:00,28/09/1992 00:00,6,-1
28/09/1992 00:00,29/09/1992 00:00,0,-1
29/09/1992 00:00,30/09/1992 00:00,0,-1
30/09/1992 00:00,01/10/1992 00:00,0,-1
01/10/1992 00:00,02/10/1992 00:00,0,-1
02/10/1992 00:00,03/10/1992 00:00,0,-1
03/10/1992 00:00,04/10/1992 00:00,0,-1
04/10/1992 00:00,05/10/1992 00:00,0,-1
05/10/1992 00:00,06/10/1992 00:00,0,-1
06/10/1992 00:00,07/10/1992 00:00,0,-1
07/10/1992 00:00,08/10/1992 00:00,0,-1
08/10/1992 00:00,09/10/1992 00:00,0,-1
09/10/1992 00:00,10/10/1992 00:00,0,-1
10/10/1992 00:00,11/10/1992 00:00,0,-1
11/10/1992 00:00,12/10/1992 00:00,0,-1
12/10/1992 00:00,13/10/1992 00:00,0,-1
13/10/1992 00:00,14/10/1992 00:00,0,-1
14/10/1992 00:00,15/10/1992 00:00,0,-1
15/10/1992 00:00,16/10/1992 00:00,3,-1
16/10/1992 00:00,17/10/1992 00:00,21.333333333333332,-1
17/10/1992 00:00,18/10/1992 00:00,52,-1
18/10/1992 00:00,19/10/1992 00:00,63,-1
19/10/1992 00:00,20/10/1992 00:00,60,-1
20/10/1992 00:00,21/10/1992 00:00,65,-1
21/10/1992 00:00,22/10/1992 00:00,81,-1
22/10/1992 00:00,23/10/1992 00:00,83,-1
23/10/1992 00:00,24/10/1992 00:00,79,-1
24/10/1992 00:00,25/10/1992 00:00,80,-1
25/10/1992 00:00,26/10/1992 00:00,81,-1
26/10/1992 00:00,27/10/1992 00:00,80,-1
27/10/1992 00:00,28/10/1992 00:00,83,-1
28/10/1992 00:00,29/10/1992 00:00,86,-1
29/10/1992 00:00,30/10/1992 00:00,89,-1
30/10/1992 00:00,31/10/1992 00:00,93.33333333333333,-1
31/10/1992 00:00,01/11/1992 00:00,98,-1
01/11/1992 00:00,02/11/1992 00:00,98,-1
02/11/1992 00:00,03/11/1992 00:00,102,-1
03/11/1992 00:00,04/11/1992 00:00,120,-1
04/11/1992 00:00,05/11/1992 00:00,146,-1
05/11/1992 00:00,06/11/1992 00:00,160.33333333333334,-1
06/11/1992 00:00,07/11/1992 00:00,165,-1
07/11/1992 00:00,08/11/1992 00:00,165,-1
08/11/1992 00:00,09/11/1992 00:00,167,-1
09/11/1992 00:00,10/11/1992 00:00,171,-1
10/11/1992 00:00,11/11/1992 00:00,171,-1
11/11/1992 00:00,12/11/1992 00:00,177,-1
12/11/1992 00:00,13/11/1992 00:00,186,-1
13/11/1992 00:00,14/11/1992 00:00,178,-1
14/11/1992 00:00,15/11/1992 00:00,173,-1
15/11/1992 00:00,16/11/1992 00:00,172,-1
16/11/1992 00:00,17/11/1992 00:00,175,-1
17/11/1992 00:00,18/11/1992 00:00,181,-1
