Date,Tmax_C,Tmin_C,Tmean_C,Total_Precip_mm,Rain_mm,Snow_cm
1955-01-01,NA,NA,NA,NA,NA,NA
1955-01-02,NA,NA,NA,NA,NA,NA
1955-01-03,NA,NA,NA,NA,NA,NA
1955-01-04,NA,NA,NA,NA,NA,NA
1955-01-05,NA,NA,NA,NA,NA,NA
1955-01-06,NA,NA,NA,NA,NA,NA
1955-01-07,NA,NA,NA,NA,NA,NA
1955-01-08,NA,NA,NA,NA,NA,NA
1955-01-09,NA,NA,NA,NA,NA,NA
1955-01-10,NA,NA,NA,NA,NA,NA
1955-01-11,NA,NA,NA,NA,NA,NA
1955-01-12,NA,NA,NA,NA,NA,NA
1955-01-13,NA,NA,NA,NA,NA,NA
1955-01-14,NA,NA,NA,NA,NA,NA
1955-01-15,NA,NA,NA,NA,NA,NA
1955-01-16,NA,NA,NA,NA,NA,NA
1955-01-17,NA,NA,NA,NA,NA,NA
1955-01-18,NA,NA,NA,NA,NA,NA
1955-01-19,NA,NA,NA,NA,NA,NA
1955-01-20,NA,NA,NA,NA,NA,NA
1955-01-21,NA,NA,NA,NA,NA,NA
1955-01-22,NA,NA,NA,NA,NA,NA
1955-01-23,NA,NA,NA,NA,NA,NA
1955-01-24,NA,NA,NA,NA,NA,NA
1955-01-25,NA,NA,NA,NA,NA,NA
1955-01-26,NA,NA,NA,NA,NA,NA
1955-01-27,NA,NA,NA,NA,NA,NA
1955-01-28,NA,NA,NA,NA,NA,NA
1955-01-29,NA,NA,NA,NA,NA,NA
1955-01-30,NA,NA,NA,NA,NA,NA
1955-01-31,NA,NA,NA,NA,NA,NA
1955-02-01,NA,NA,NA,NA,NA,NA
1955-02-02,NA,NA,NA,NA,NA,NA
1955-02-03,NA,NA,NA,NA,NA,NA
1955-02-04,NA,NA,NA,NA,NA,NA
1955-02-05,NA,NA,NA,NA,NA,NA
1955-02-06,NA,NA,NA,NA,NA,NA
1955-02-07,NA,NA,NA,NA,NA,NA
1955-02-08,NA,NA,NA,NA,NA,NA
1955-02-09,NA,NA,NA,NA,NA,NA
1955-02-10,NA,NA,NA,NA,NA,NA
1955-02-11,NA,NA,NA,NA,NA,NA
1955-02-12,NA,NA,NA,NA,NA,NA
1955-02-13,NA,NA,NA,NA,NA,NA
1955-02-14,NA,NA,NA,NA,NA,NA
1955-02-15,NA,NA,NA,NA,NA,NA
1955-02-16,NA,NA,NA,NA,NA,NA
1955-02-17,NA,NA,NA,NA,NA,NA
1955-02-18,NA,NA,NA,NA,NA,NA
1955-02-19,NA,NA,NA,NA,NA,NA
1955-02-20,NA,NA,NA,NA,NA,NA
1955-02-21,NA,NA,NA,NA,NA,NA
1955-02-22,NA,NA,NA,NA,NA,NA
1955-02-23,NA,NA,NA,NA,NA,NA
1955-02-24,NA,NA,NA,NA,NA,NA
1955-02-25,NA,NA,NA,NA,NA,NA
1955-02-26,NA,NA,NA,NA,NA,NA
1955-02-27,NA,NA,NA,NA,NA,NA
1955-02-28,NA,NA,NA,NA,NA,NA
1955-03-01,NA,NA,NA,NA,NA,NA
1955-03-02,NA,NA,NA,NA,NA,NA
1955-03-03,NA,NA,NA,NA,NA,NA
1955-03-04,NA,NA,NA,NA,NA,NA
1955-03-05,NA,NA,NA,NA,NA,NA
1955-03-06,NA,NA,NA,NA,NA,NA
1955-03-07,NA,NA,NA,NA,NA,NA
1955-03-08,NA,NA,NA,NA,NA,NA
1955-03-09,NA,NA,NA,NA,NA,NA
1955-03-10,NA,NA,NA,NA,NA,NA
1955-03-11,NA,NA,NA,NA,NA,NA
1955-03-12,NA,NA,NA,NA,NA,NA
1955-03-13,NA,NA,NA,NA,NA,NA
1955-03-14,NA,NA,NA,NA,NA,NA
1955-03-15,NA,NA,NA,NA,NA,NA
1955-03-16,NA,NA,NA,NA,NA,NA
1955-03-17,NA,NA,NA,NA,NA,NA
1955-03-18,NA,NA,NA,NA,NA,NA
1955-03-19,NA,NA,NA,NA,NA,NA
1955-03-20,NA,NA,NA,NA,NA,NA
1955-03-21,NA,NA,NA,NA,NA,NA
1955-03-22,NA,NA,NA,NA,NA,NA
1955-03-23,NA,NA,NA,NA,NA,NA
1955-03-24,NA,NA,NA,NA,NA,NA
1955-03-25,NA,NA,NA,NA,NA,NA
1955-03-26,NA,NA,NA,NA,NA,NA
1955-03-27,NA,NA,NA,NA,NA,NA
1955-03-28,NA,NA,NA,NA,NA,NA
1955-03-29,NA,NA,NA,NA,NA,NA
1955-03-30,NA,NA,NA,NA,NA,NA
1955-03-31,NA,NA,NA,NA,NA,NA
1955-04-01,NA,NA,NA,NA,NA,NA
1955-04-02,NA,NA,NA,NA,NA,NA
1955-04-03,NA,NA,NA,NA,NA,NA
1955-04-04,NA,NA,NA,NA,NA,NA
1955-04-05,NA,NA,NA,NA,NA,NA
1955-04-06,NA,NA,NA,NA,NA,NA
1955-04-07,NA,NA,NA,NA,NA,NA
1955-04-08,NA,NA,NA,NA,NA,NA
1955-04-09,NA,NA,NA,NA,NA,NA
1955-04-10,NA,NA,NA,NA,NA,NA
1955-04-11,NA,NA,NA,NA,NA,NA
1955-04-12,NA,NA,NA,NA,NA,NA
1955-04-13,NA,NA,NA,NA,NA,NA
1955-04-14,NA,NA,NA,NA,NA,NA
1955-04-15,NA,NA,NA,NA,NA,NA
1955-04-16,NA,NA,NA,NA,NA,NA
1955-04-17,NA,NA,NA,NA,NA,NA
1955-04-18,NA,NA,NA,NA,NA,NA
1955-04-19,NA,NA,NA,NA,NA,NA
1955-04-20,NA,NA,NA,NA,NA,NA
1955-04-21,NA,NA,NA,NA,NA,NA
1955-04-22,NA,NA,NA,NA,NA,NA
1955-04-23,NA,NA,NA,NA,NA,NA
1955-04-24,NA,NA,NA,NA,NA,NA
1955-04-25,NA,NA,NA,NA,NA,NA
1955-04-26,NA,NA,NA,NA,NA,NA
1955-04-27,NA,NA,NA,NA,NA,NA
1955-04-28,NA,NA,NA,NA,NA,NA
1955-04-29,NA,NA,NA,NA,NA,NA
1955-04-30,NA,NA,NA,NA,NA,NA
1955-05-01,NA,NA,NA,NA,NA,NA
1955-05-02,NA,NA,NA,NA,NA,NA
1955-05-03,NA,NA,NA,NA,NA,NA
1955-05-04,NA,NA,NA,NA,NA,NA
1955-05-05,NA,NA,NA,NA,NA,NA
1955-05-06,NA,NA,NA,NA,NA,NA
1955-05-07,NA,NA,NA,NA,NA,NA
1955-05-08,NA,NA,NA,NA,NA,NA
1955-05-09,NA,NA,NA,NA,NA,NA
1955-05-10,NA,NA,NA,NA,NA,NA
1955-05-11,NA,NA,NA,NA,NA,NA
1955-05-12,NA,NA,NA,NA,NA,NA
1955-05-13,NA,NA,NA,NA,NA,NA
1955-05-14,NA,NA,NA,NA,NA,NA
1955-05-15,NA,NA,NA,NA,NA,NA
1955-05-16,NA,NA,NA,NA,NA,NA
1955-05-17,NA,NA,NA,NA,NA,NA
1955-05-18,NA,NA,NA,NA,NA,NA
1955-05-19,NA,NA,NA,NA,NA,NA
