Year,Month,YearMonth,basin_precip_total_mm,n_valid_stations,basin_weight_coverage_pct
1895,1,1895-01,31.699999999999996,1,0
1895,2,1895-02,44.699999999999996,1,0
1895,3,1895-03,29,1,0
1895,4,1895-04,16.5,1,0
1895,5,1895-05,41.2,1,0
1895,6,1895-06,23.099999999999998,1,0
1895,7,1895-07,57.599999999999994,1,0
1895,8,1895-08,63.8,1,0
1895,9,1895-09,52.5,1,0
1895,10,1895-10,43,1,0
1895,11,1895-11,83.4,1,0
1895,12,1895-12,38.1,1,0
1896,1,1896-01,108.2,1,0
1896,2,1896-02,87.6,1,0
1896,3,1896-03,24.3,1,0
1896,4,1896-04,21.2,1,0
1896,5,1896-05,5.9,1,0
1896,6,1896-06,38.4,1,0
1896,7,1896-07,32.4,1,0
1896,8,1896-08,10.2,1,0
1896,9,1896-09,9.1,1,0
1896,10,1896-10,45.199999999999996,1,0
1896,11,1896-11,28.7,1,0
1896,12,1896-12,77.9,1,0
1897,1,1897-01,65.6,1,0
1897,2,1897-02,36.4,1,0
1897,3,1897-03,13.2,1,0
1897,4,1897-04,36.2,1,0
1897,5,1897-05,47.9,1,0
1897,6,1897-06,48.4,1,0
1897,7,1897-07,59.89999999999999,1,0
1897,8,1897-08,26.3,1,0
1897,9,1897-09,35.3,1,0
1897,10,1897-10,37.6,1,0
1897,11,1897-11,49.4,1,0
1897,12,1897-12,18.3,1,0
1898,1,1898-01,NA,0,0
1898,2,1898-02,NA,0,0
1898,3,1898-03,11.5,1,0
1898,4,1898-04,1.8,1,0
1898,5,1898-05,7.7,1,0
1898,6,1898-06,23.9,1,0
1898,7,1898-07,77.2,1,0
1898,8,1898-08,9.7,1,0
1898,9,1898-09,16.5,1,0
1898,10,1898-10,33.8,1,0
1898,11,1898-11,22.299999999999997,1,0
1898,12,1898-12,18,1,0
1899,1,1899-01,99.8,1,0
1899,2,1899-02,4.6,1,0
1899,3,1899-03,25.4,1,0
1899,4,1899-04,0.8,1,0
1899,5,1899-05,20.2,1,0
1899,6,1899-06,NA,0,0
1899,7,1899-07,NA,0,0
1899,8,1899-08,NA,0,0
1899,9,1899-09,24.2,1,0
1899,10,1899-10,40.699999999999996,1,0
1899,11,1899-11,8.8,1,0
1899,12,1899-12,43.6,1,0
1900,1,1900-01,12.700000000000001,1,0
1900,2,1900-02,31.9,1,0
1900,3,1900-03,26.9,1,0
1900,4,1900-04,7.6000000000000005,1,0
1900,5,1900-05,37.699999999999996,1,0
1900,6,1900-06,34.8,1,0
1900,7,1900-07,39.4,1,0
1900,8,1900-08,17.299999999999997,1,0
1900,9,1900-09,12.7,1,0
1900,10,1900-10,8.1,1,0
1900,11,1900-11,30.5,1,0
1900,12,1900-12,19.599999999999998,1,0
1901,1,1901-01,30.5,1,0
1901,2,1901-02,6.3999999999999995,1,0
1901,3,1901-03,18,1,0
1901,4,1901-04,30.400000000000002,1,0
1901,5,1901-05,34.3,1,0
1901,6,1901-06,42,1,0
1901,7,1901-07,36.8,1,0
1901,8,1901-08,3.8000000000000003,1,0
1901,9,1901-09,10.2,1,0
1901,10,1901-10,7.6000000000000005,1,0
1901,11,1901-11,67,1,0
1901,12,1901-12,36.2,1,0
1902,1,1902-01,29.1,1,0
1902,2,1902-02,36.9,1,0
1902,3,1902-03,10.9,1,0
1902,4,1902-04,12.6,1,0
1902,5,1902-05,33,1,0
1902,6,1902-06,48.3,1,0
