"month","mean_pet","min_pet","max_pet","std_dev","month_name"
1,0.0473123727410632,0.0124727243230874,0.141350855268091,0.0235494474865899,"January"
2,0.0288529647069322,0.00547728791663516,0.11823634322963,0.0203981294215868,"February"
3,0.0403892408187765,0.00285198447199879,0.159466178090353,0.0328411343812533,"March"
4,0.0700653892379596,0.00425957285221611,0.211049109301217,0.0461822265654768,"April"
5,0.12780655085952,0.00324125903687612,0.338261220886918,0.0808427833852975,"May"
6,0.257256296894587,0.0164288142443149,0.590604105415528,0.142636229458918,"June"
7,0.369409845977913,0.0370538880149526,0.745727587469537,0.166457452502718,"July"
8,0.37442371579555,0.057173745214117,0.684083234451113,0.1372750835847,"August"
9,0.33780053169304,0.10502670821709,0.560972048337339,0.0964010553454356,"September"
10,0.254332970084425,0.117887199053137,0.480361881984963,0.0744454118118108,"October"
11,0.15806210533386,0.0758402286712314,0.324499556951347,0.0492992219892153,"November"
12,0.0910360341100392,0.0337015840970209,0.209351071360882,0.033805982291363,"December"
