"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1950-01-01,1950,1,20.9794050801337,7.21261452417821,76.6630712896585,11.9486843150766
1950-02-01,1950,2,97.7354427842777,27.4727074429393,640.159897506237,84.1989035401797
1950-03-01,1950,3,44.8585061072762,16.3593695033342,299.324507825077,37.7824452507938
1950-04-01,1950,4,72.0032903893084,27.7359480969608,356.353484094143,45.6572757557155
1950-05-01,1950,5,52.8584545271732,15.1181041728705,355.843012221158,41.6408448250867
1950-06-01,1950,6,24.4482276156309,10.9808309935033,80.54950973019,8.81605937194715
1950-07-01,1950,7,50.2946110794161,15.4049664270133,118.584376526996,15.8047704969678
1950-08-01,1950,8,74.4560014221309,40.6144883017987,192.10038613528,23.3730949704864
1950-09-01,1950,9,44.6149042048449,17.1255483292043,275.917807593942,30.3271670469377
1950-10-01,1950,10,81.1955951060994,33.0742276273668,434.787845239043,58.9222511820049
1950-11-01,1950,11,110.895632159353,69.7468500584364,490.519925951958,64.4483300182653
1950-12-01,1950,12,87.4001987329031,28.3294664695859,544.14039477706,73.1316813778233
1951-01-01,1951,1,44.4056934074444,18.8134405761957,295.601101592183,38.4718464303026
1951-02-01,1951,2,62.2498903316087,24.6710758656263,348.016038537025,40.5705256943247
1951-03-01,1951,3,61.0860914539238,27.5142143946141,326.741795055568,41.0315935493455
1951-04-01,1951,4,23.7189503051791,4.5869467430748,128.383850678802,18.0683636507509
1951-05-01,1951,5,75.8063840758576,30.9293938335031,222.830303013325,27.248376820105
1951-06-01,1951,6,35.2467343143221,14.9309006519616,141.174886375666,15.3317524951372
1951-07-01,1951,7,88.9732519447028,18.9960929565132,158.360104542226,32.5198812170267
1951-08-01,1951,8,39.4394994867182,9.48323565535247,90.621369658038,13.5689988235965
1951-09-01,1951,9,51.5142256158037,27.2869365289807,200.530816800892,17.5171322358021
1951-10-01,1951,10,103.800365735031,49.6347630396485,425.746285356581,56.456835749773
1951-11-01,1951,11,71.4548338811457,27.4352473206818,393.567960709333,52.6270516766556
1951-12-01,1951,12,58.9050525689826,24.4610123336315,307.772364467382,37.1323203942418
1952-01-01,1952,1,95.6353928479766,38.9836737886071,516.012996435165,65.2190872471313
1952-02-01,1952,2,59.3487797304988,22.0513762906194,344.911624677479,46.0364327512673
1952-03-01,1952,3,58.6995391985844,25.9010328445584,377.905046567321,46.96409260645
1952-04-01,1952,4,76.1502365290916,24.237425532192,526.883639395237,74.974764203115
1952-05-01,1952,5,19.3159643959542,4.27626061718911,98.6885838210583,10.8941322987689
1952-06-01,1952,6,89.4789707296996,48.1027294881642,213.987529277802,20.1134016466337
1952-07-01,1952,7,30.3994592835461,9.17803309857845,98.9091005176306,13.0645583889029
1952-08-01,1952,8,50.4131982865748,22.823232691735,169.990960042924,19.5793680326517
1952-09-01,1952,9,76.3911685874218,36.1858424730599,465.959999710321,50.491892910795
1952-10-01,1952,10,51.5689210327789,8.07378953322768,369.208870455623,50.490583908906
1952-11-01,1952,11,73.7493765478263,25.8946185931563,376.058556139469,57.212556972738
1952-12-01,1952,12,99.029785444606,25.0153716187924,485.158616676927,74.8288090784632
1953-01-01,1953,1,80.6868832231272,39.9906220845878,453.975800424814,57.7700891691905
1953-02-01,1953,2,54.256813979931,12.3470835387707,431.743156164885,57.4293674821883
1953-03-01,1953,3,72.8643754986009,21.5393826365471,493.038147687912,63.2387839973078
1953-04-01,1953,4,53.1207444185783,20.4797624610364,160.517217591405,20.4504633414172
1953-05-01,1953,5,41.4540420183111,22.2090671304613,105.782758677378,13.1931864247603
1953-06-01,1953,6,83.550286751369,35.449534188956,144.698582589626,22.0312245049069
1953-07-01,1953,7,93.4680063778964,48.8466280512512,165.857787709683,20.2072458042163
1953-08-01,1953,8,50.1427606715583,15.0562769267708,130.027072504163,17.4653536212449
1953-09-01,1953,9,86.5450144492035,26.6595580615103,312.545271590352,41.6178156703173
1953-10-01,1953,10,130.19065389081,45.7367449998856,746.057353913784,103.77990278934
1953-11-01,1953,11,130.715801701112,40.7268083654344,824.885386973619,111.73056360571
1953-12-01,1953,12,117.948113440492,38.0630569998175,787.957027554512,109.395948572842
1954-01-01,1954,1,61.4770109722037,24.8371220659465,414.420769549906,57.0704955836535
1954-02-01,1954,2,135.552149894437,47.1484670415521,793.632514774799,122.276126767707
1954-03-01,1954,3,32.4668617866674,15.5281589832157,135.640749707818,17.3870381142722
1954-04-01,1954,4,72.2915850007144,27.1722092293203,405.561486259103,56.4938067762654
1954-05-01,1954,5,49.6422496752822,20.4723754432052,101.472621550784,13.3851301311128
1954-06-01,1954,6,88.6244582364176,42.2100489959121,273.284576833248,33.8694770995601
1954-07-01,1954,7,68.2635493386891,23.6365864984691,164.369776379317,21.7123916029452
1954-08-01,1954,8,102.276054760246,28.8091797847301,183.100891299546,27.1412093165421
1954-09-01,1954,9,85.8759880408316,32.9620717093349,366.779509931803,42.0413005827174
1954-10-01,1954,10,117.188141369408,37.5115415081382,633.34959000349,88.1970569530998
1954-11-01,1954,11,133.442462667427,50.8227967657149,740.138199180365,99.8084164295356
1954-12-01,1954,12,128.864248145195,41.3185798097402,762.61417940259,110.550662987184
1955-01-01,1955,1,66.5360192459591,14.8495533503592,430.946731939912,53.8617318869416
1955-02-01,1955,2,63.5030555087921,29.3818786740303,388.087831437588,46.761192952572
1955-03-01,1955,3,66.8818820336395,28.3302965108305,360.048621892929,42.0216932997076
1955-04-01,1955,4,65.4817295020522,16.1327607929707,310.082081705332,42.6149076478853
1955-05-01,1955,5,68.1329559433649,35.6188165023923,326.857452280819,35.6292443529708
1955-06-01,1955,6,51.4286058023572,16.2082118913531,183.11224412173,18.2500463945887
1955-07-01,1955,7,83.6160779794746,43.7313003931195,135.031340643764,17.8197491551135
1955-08-01,1955,8,67.228823483024,18.4920197352767,319.405674003065,36.9843939927524
1955-09-01,1955,9,48.0187572425598,14.2887490801513,211.634058505297,30.8083575086725
1955-10-01,1955,10,142.982684021049,42.4056090414524,779.777411371469,107.779106551251
1955-11-01,1955,11,90.7997725696337,42.8998027928174,435.101352632046,55.1208664509303
1955-12-01,1955,12,60.0361733776897,36.2829794175923,322.447724640369,37.938962056484
1956-01-01,1956,1,60.1317626371457,34.7317694686353,254.080446437001,29.8606403777861
1956-02-01,1956,2,57.0959047123588,22.9028146713972,359.575567767024,44.4570859488987
