"Date","Year","Month","Basin_Mean","Basin_Median","Basin_Min","Basin_Max","Basin_SD","Valid_Pixels","Total_Pixels","Coverage_Pct","Date_formatted"
"1950-01",1950,1,NA,NA,NA,NA,NA,0,863,0,1950-01-01
"1950-02",1950,2,NA,NA,NA,NA,NA,0,863,0,1950-02-01
"1950-03",1950,3,NA,NA,NA,NA,NA,0,863,0,1950-03-01
"1950-04",1950,4,NA,NA,NA,NA,NA,0,863,0,1950-04-01
"1950-05",1950,5,NA,NA,NA,NA,NA,0,863,0,1950-05-01
"1950-06",1950,6,NA,NA,NA,NA,NA,0,863,0,1950-06-01
"1950-07",1950,7,NA,NA,NA,NA,NA,0,863,0,1950-07-01
"1950-08",1950,8,NA,NA,NA,NA,NA,0,863,0,1950-08-01
"1950-09",1950,9,NA,NA,NA,NA,NA,0,863,0,1950-09-01
"1950-10",1950,10,NA,NA,NA,NA,NA,0,863,0,1950-10-01
"1950-11",1950,11,NA,NA,NA,NA,NA,0,863,0,1950-11-01
"1950-12",1950,12,0.245,0.415,-1.496,1.614,0.887,863,863,100,1950-12-01
"1951-01",1951,1,0.466,0.946,-1.753,1.844,1.219,863,863,100,1951-01-01
"1951-02",1951,2,0.381,0.793,-1.59,1.489,0.925,863,863,100,1951-02-01
"1951-03",1951,3,0.265,0.548,-1.282,1.255,0.776,863,863,100,1951-03-01
"1951-04",1951,4,0.51,1.169,-1.855,1.772,1.291,863,863,100,1951-04-01
"1951-05",1951,5,0.13,0.072,-1.565,1.531,0.67,863,863,100,1951-05-01
"1951-06",1951,6,0.49,0.94,-2.005,2.041,1.135,863,863,100,1951-06-01
"1951-07",1951,7,0.467,0.423,-1.545,1.599,0.692,863,863,100,1951-07-01
"1951-08",1951,8,0.521,0.539,-1.746,1.901,0.765,863,863,100,1951-08-01
"1951-09",1951,9,0.58,0.535,-2.053,2.056,0.88,863,863,100,1951-09-01
"1951-10",1951,10,0.444,0.317,-1.729,1.945,0.749,863,863,100,1951-10-01
"1951-11",1951,11,0.592,0.741,-1.615,1.941,0.839,863,863,100,1951-11-01
"1951-12",1951,12,0.649,0.924,-1.785,2.073,1.032,863,863,100,1951-12-01
"1952-01",1952,1,0.506,0.631,-1.194,1.832,0.766,863,863,100,1952-01-01
"1952-02",1952,2,0.357,0.338,-1.301,1.471,0.621,863,863,100,1952-02-01
"1952-03",1952,3,0.298,0.305,-1.247,1.291,0.551,863,863,100,1952-03-01
"1952-04",1952,4,0.131,0.114,-0.677,0.762,0.353,863,863,100,1952-04-01
"1952-05",1952,5,0.457,0.914,-1.602,1.762,1.105,863,863,100,1952-05-01
"1952-06",1952,6,0.222,0.389,-1.104,1.099,0.497,863,863,100,1952-06-01
"1952-07",1952,7,0.5,1.089,-1.522,1.614,1.05,863,863,100,1952-07-01
"1952-08",1952,8,0.537,1.16,-1.856,1.919,1.2,863,863,100,1952-08-01
"1952-09",1952,9,0.536,1.177,-1.931,2.007,1.277,863,863,100,1952-09-01
"1952-10",1952,10,0.86,1.904,-2.316,2.348,1.77,863,863,100,1952-10-01
"1952-11",1952,11,0.829,1.812,-2.243,2.259,1.7,863,863,100,1952-11-01
"1952-12",1952,12,0.657,1.279,-2.078,2.181,1.364,863,863,100,1952-12-01
"1953-01",1953,1,0.516,0.827,-1.668,1.731,1.112,863,863,100,1953-01-01
"1953-02",1953,2,0.501,0.85,-1.54,1.741,1.089,863,863,100,1953-02-01
"1953-03",1953,3,0.413,0.77,-1.546,1.666,0.991,863,863,100,1953-03-01
"1953-04",1953,4,0.38,0.486,-1.063,1.312,0.579,863,863,100,1953-04-01
"1953-05",1953,5,0.44,0.65,-1.091,1.288,0.608,863,863,100,1953-05-01
"1953-06",1953,6,0.154,0.173,-1.168,1.083,0.403,863,863,100,1953-06-01
"1953-07",1953,7,-0.035,-0.241,-1.672,1.608,0.822,863,863,100,1953-07-01
"1953-08",1953,8,-0.049,-0.213,-1.378,1.244,0.678,863,863,100,1953-08-01
"1953-09",1953,9,-0.023,-0.191,-1.39,1.326,0.615,863,863,100,1953-09-01
"1953-10",1953,10,-0.225,-0.512,-1.636,1.509,0.752,863,863,100,1953-10-01
"1953-11",1953,11,-0.336,-0.598,-1.818,1.678,0.93,863,863,100,1953-11-01
"1953-12",1953,12,-0.423,-0.701,-2.149,1.729,1.051,863,863,100,1953-12-01
"1954-01",1954,1,-0.262,-0.286,-1.765,1.018,0.734,863,863,100,1954-01-01
"1954-02",1954,2,-0.662,-0.876,-2.558,2.1,1.368,863,863,100,1954-02-01
"1954-03",1954,3,-0.457,-0.448,-2.086,1.586,0.946,863,863,100,1954-03-01
"1954-04",1954,4,-0.526,-0.436,-2.305,1.754,1.1,863,863,100,1954-04-01
"1954-05",1954,5,-0.471,-0.417,-1.924,1.232,0.866,863,863,100,1954-05-01
"1954-06",1954,6,-0.478,-0.385,-1.978,1.7,0.842,863,863,100,1954-06-01
"1954-07",1954,7,-0.385,-0.408,-1.531,1.521,0.625,863,863,100,1954-07-01
"1954-08",1954,8,-0.586,-1.008,-2.239,2.121,1.212,863,863,100,1954-08-01
"1954-09",1954,9,-0.617,-1.118,-2.48,2.257,1.376,863,863,100,1954-09-01
"1954-10",1954,10,-0.609,-1.11,-2.343,2.21,1.365,863,863,100,1954-10-01
"1954-11",1954,11,-0.73,-1.323,-2.309,2.311,1.451,863,863,100,1954-11-01
"1954-12",1954,12,-0.821,-1.453,-2.417,2.339,1.527,863,863,100,1954-12-01
"1955-01",1955,1,-0.678,-1.146,-1.904,1.787,1.144,863,863,100,1955-01-01
"1955-02",1955,2,-0.606,-1.014,-1.905,1.813,1.04,863,863,100,1955-02-01
"1955-03",1955,3,-0.592,-0.926,-2.026,1.94,1.132,863,863,100,1955-03-01
"1955-04",1955,4,-0.501,-0.815,-1.774,1.59,1.058,863,863,100,1955-04-01
"1955-05",1955,5,-0.535,-0.861,-1.725,1.741,0.96,863,863,100,1955-05-01
