"Date","Year","Month","Basin_Mean","Basin_Median","Basin_Min","Basin_Max","Basin_SD","Valid_Pixels","Total_Pixels","Coverage_Pct","Date_formatted"
"1950-01",1950,1,NA,NA,NA,NA,NA,0,863,0,1950-01-01
"1950-02",1950,2,NA,NA,NA,NA,NA,0,863,0,1950-02-01
"1950-03",1950,3,NA,NA,NA,NA,NA,0,863,0,1950-03-01
"1950-04",1950,4,NA,NA,NA,NA,NA,0,863,0,1950-04-01
"1950-05",1950,5,NA,NA,NA,NA,NA,0,863,0,1950-05-01
"1950-06",1950,6,NA,NA,NA,NA,NA,0,863,0,1950-06-01
"1950-07",1950,7,NA,NA,NA,NA,NA,0,863,0,1950-07-01
"1950-08",1950,8,NA,NA,NA,NA,NA,0,863,0,1950-08-01
"1950-09",1950,9,NA,NA,NA,NA,NA,0,863,0,1950-09-01
"1950-10",1950,10,NA,NA,NA,NA,NA,0,863,0,1950-10-01
"1950-11",1950,11,NA,NA,NA,NA,NA,0,863,0,1950-11-01
"1950-12",1950,12,0.33,0.444,-1.354,1.47,0.748,863,863,100,1950-12-01
"1951-01",1951,1,0.636,0.929,-1.704,1.769,1.013,863,863,100,1951-01-01
"1951-02",1951,2,0.537,0.788,-1.457,1.323,0.723,863,863,100,1951-02-01
"1951-03",1951,3,0.418,0.612,-1.126,1.115,0.606,863,863,100,1951-03-01
"1951-04",1951,4,0.782,1.141,-1.744,1.739,1.03,863,863,100,1951-04-01
"1951-05",1951,5,0.167,0.161,-1.538,1.345,0.564,863,863,100,1951-05-01
"1951-06",1951,6,0.587,0.834,-1.817,1.752,0.865,863,863,100,1951-06-01
"1951-07",1951,7,0.393,0.411,-1.358,1.405,0.568,863,863,100,1951-07-01
"1951-08",1951,8,0.471,0.452,-1.655,1.718,0.634,863,863,100,1951-08-01
"1951-09",1951,9,0.592,0.507,-1.922,2,0.749,863,863,100,1951-09-01
"1951-10",1951,10,0.374,0.25,-1.608,1.831,0.681,863,863,100,1951-10-01
"1951-11",1951,11,0.613,0.685,-1.541,1.931,0.713,863,863,100,1951-11-01
"1951-12",1951,12,0.738,0.85,-1.576,2.233,0.86,863,863,100,1951-12-01
"1952-01",1952,1,0.565,0.571,-1.068,1.918,0.595,863,863,100,1952-01-01
"1952-02",1952,2,0.399,0.374,-1.185,1.311,0.479,863,863,100,1952-02-01
"1952-03",1952,3,0.331,0.349,-1.049,1.112,0.399,863,863,100,1952-03-01
"1952-04",1952,4,0.069,0.048,-0.441,0.563,0.251,863,863,100,1952-04-01
"1952-05",1952,5,0.504,0.778,-1.311,1.422,0.786,863,863,100,1952-05-01
"1952-06",1952,6,0.226,0.316,-0.894,0.861,0.302,863,863,100,1952-06-01
"1952-07",1952,7,0.608,0.92,-1.425,1.314,0.707,863,863,100,1952-07-01
"1952-08",1952,8,0.659,1.004,-1.527,1.553,0.816,863,863,100,1952-08-01
"1952-09",1952,9,0.623,0.921,-1.455,1.561,0.813,863,863,100,1952-09-01
"1952-10",1952,10,1.149,1.751,-2.34,2.365,1.398,863,863,100,1952-10-01
"1952-11",1952,11,1.078,1.612,-2.154,2.28,1.333,863,863,100,1952-11-01
"1952-12",1952,12,0.779,1.093,-2.214,2.384,1.155,863,863,100,1952-12-01
"1953-01",1953,1,0.559,0.709,-1.494,1.647,0.866,863,863,100,1953-01-01
"1953-02",1953,2,0.554,0.751,-1.347,1.648,0.852,863,863,100,1953-02-01
"1953-03",1953,3,0.406,0.598,-1.296,1.444,0.728,863,863,100,1953-03-01
"1953-04",1953,4,0.363,0.335,-0.885,1.252,0.405,863,863,100,1953-04-01
"1953-05",1953,5,0.488,0.56,-1.157,1.199,0.535,863,863,100,1953-05-01
"1953-06",1953,6,0.116,0.148,-0.975,1.16,0.417,863,863,100,1953-06-01
"1953-07",1953,7,-0.186,-0.241,-1.519,1.238,0.586,863,863,100,1953-07-01
"1953-08",1953,8,-0.122,-0.151,-1.118,0.955,0.452,863,863,100,1953-08-01
"1953-09",1953,9,-0.08,-0.177,-1.1,0.955,0.458,863,863,100,1953-09-01
"1953-10",1953,10,-0.309,-0.493,-1.405,1.08,0.552,863,863,100,1953-10-01
"1953-11",1953,11,-0.425,-0.619,-1.47,1.25,0.693,863,863,100,1953-11-01
"1953-12",1953,12,-0.579,-0.789,-1.741,1.431,0.796,863,863,100,1953-12-01
"1954-01",1954,1,-0.343,-0.422,-1.537,0.861,0.572,863,863,100,1954-01-01
"1954-02",1954,2,-0.898,-1.122,-2.503,1.521,1.024,863,863,100,1954-02-01
"1954-03",1954,3,-0.592,-0.606,-1.851,0.912,0.72,863,863,100,1954-03-01
"1954-04",1954,4,-0.699,-0.738,-2.126,1.03,0.841,863,863,100,1954-04-01
"1954-05",1954,5,-0.506,-0.429,-1.671,0.843,0.645,863,863,100,1954-05-01
"1954-06",1954,6,-0.455,-0.253,-1.75,0.908,0.644,863,863,100,1954-06-01
"1954-07",1954,7,-0.316,-0.194,-1.346,0.778,0.484,863,863,100,1954-07-01
"1954-08",1954,8,-0.569,-0.78,-1.812,1.63,0.834,863,863,100,1954-08-01
"1954-09",1954,9,-0.61,-0.821,-2.103,1.696,0.947,863,863,100,1954-09-01
"1954-10",1954,10,-0.64,-0.884,-2.02,1.656,0.949,863,863,100,1954-10-01
"1954-11",1954,11,-0.738,-1.054,-1.845,1.682,1.012,863,863,100,1954-11-01
"1954-12",1954,12,-0.867,-1.213,-1.99,1.722,1.096,863,863,100,1954-12-01
"1955-01",1955,1,-0.67,-0.951,-1.55,1.426,0.841,863,863,100,1955-01-01
"1955-02",1955,2,-0.618,-0.876,-1.594,1.559,0.797,863,863,100,1955-02-01
"1955-03",1955,3,-0.641,-0.859,-1.756,1.747,0.888,863,863,100,1955-03-01
"1955-04",1955,4,-0.554,-0.761,-1.432,1.307,0.808,863,863,100,1955-04-01
"1955-05",1955,5,-0.59,-0.851,-1.564,1.583,0.809,863,863,100,1955-05-01
