"lon","lat","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
-127.8,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.7,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.6,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.5,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.4,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.3,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.2,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.1,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127,56.2,NA,-0.642163894674292,-0.816401567280413,-2.43457042614542,0.96529256234021,0.683734704037151,0.340129086379061,2.43457042614542,0.167623275332726,-0.683734704037151,1.67069628700307,-0.0667862577801507,1.01990350329444,0.411765675544755,0.448368718309631,-0.601674478859444,0,1.27791909279369,-0.448368718309631,0.523481850937225,0.562148407289032,-1.67069628700307,0.201566558459363,0.770683475829423,-0.0333745157266411,-0.167623275332726,1.4465256644678,-0.523481850937225,-0.340129086379061,0.375706304685935,-2.03816388106899,0.0667862577801509,-0.304977371735431,-1.4465256644678,-1.35740082228421,-1.01990350329444,-0.770683475829423,-1.20578079241577,-0.201566558459363,0.601674478859444,1.54890004225171,1.82396334149446,2.03816388106899,0.304977371735431,-0.235743744860609,-0.133872081369972,1.35740082228421,-0.485582726681308,0.235743744860609,-1.0777391993448,0.642163894674292,0.0333745157266409,1.0777391993448,-1.54890004225172,-1.1394246210383,0.485582726681308,0.100272744029131,0.726522308143693,0.270198619437683,1.20578079241577,-0.913418719086485,-0.270198619437683,0.913418719086485,-0.96529256234021,-0.562148407289032,-0.375706304685935,-1.82396334149446,-1.27791909279369,0.133872081369972,-0.726522308143693,0.816401567280413,1.1394246210383,0.863893437174836,-0.411765675544755,-0.863893437174837,-0.100272744029131
-126.9,56.2,NA,-0.523481850937225,-0.770683475829423,-2.43457042614542,1.01990350329444,0.683734704037151,0.375706304685935,2.43457042614542,0.133872081369972,-0.816401567280413,1.67069628700307,-0.133872081369972,0.913418719086485,0.411765675544755,0.485582726681308,-0.683734704037151,0.0667862577801509,1.27791909279369,-0.411765675544755,0.642163894674292,0.601674478859444,-1.67069628700307,0.235743744860609,0.770683475829423,-0.0333745157266411,-0.167623275332726,1.4465256644678,-0.601674478859444,-0.270198619437683,0.270198619437683,-2.03816388106899,0,-0.304977371735431,-1.35740082228421,-1.4465256644678,-1.0777391993448,-0.642163894674292,-1.27791909279369,-0.201566558459363,0.523481850937225,1.54890004225171,1.82396334149446,2.03816388106899,0.201566558459363,-0.340129086379061,-0.0667862577801507,1.35740082228421,-0.485582726681308,0.340129086379061,-1.01990350329444,0.562148407289032,0.0333745157266409,1.1394246210383,-1.54890004225172,-1.1394246210383,0.448368718309631,0.100272744029131,0.726522308143693,0.304977371735431,1.0777391993448,-0.913418719086485,-0.235743744860609,0.863893437174836,-0.96529256234021,-0.726522308143693,-0.448368718309631,-1.82396334149446,-1.20578079241577,0.167623275332726,-0.562148407289032,0.816401567280413,1.20578079241577,0.96529256234021,-0.375706304685935,-0.863893437174837,-0.100272744029131
