"lon","lat","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
-127.8,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.7,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.6,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.5,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.4,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.3,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.2,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127.1,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127,56.2,-0.736581689288402,0.115511208380627,0.0824181032994021,0.573252135887014,1.08605050702802,1.82991789218066,0.974103292580923,-0.825957561563755,0.652737719370912,0.460305575676172,2.04365224743997,0.497236059072662,1.55556811761253,1.21358028323859,1.02846541548548,0.694049642748968,1.14748230156437,0.148731336602831,0.249540493553615,-0.612511057032684,0.736581689288402,-0.0494150377589495,0.922477505161213,1.45349946276876,1.6770304823129,0.534857653952456,2.43935244712229,-1.02846541548548,-0.388230441913845,-0.249540493553615,-0.148731336602832,-0.974103292580923,-0.873200389983548,-0.115511208380627,0.215705869471267,-0.0824181032994021,-0.0164657221579195,-0.283663305145895,0.352958155945235,-1.36466160509154,-2.43935244712229,-0.780490070666475,0.825957561563755,-1.82991789218066,-0.652737719370912,-1.28545384319138,1.28545384319138,-1.08605050702802,-1.55556811761253,0.182116462609734,0.612511057032684,1.36466160509154,0.873200389983548,0.0494150377589495,0.318119734624396,-0.352958155945235,-1.45349946276876,0.283663305145895,-0.922477505161213,-0.534857653952456,-0.573252135887015,0.388230441913845,0.780490070666475,-0.460305575676172,-1.6770304823129,0.423992609193271,-1.14748230156437,-0.182116462609734,-0.694049642748969,-0.423992609193271,-0.318119734624396,0.0164657221579194,-2.04365224743997,-1.21358028323859,-0.497236059072662,-0.215705869471267
-126.9,56.2,-0.736581689288402,0.460305575676172,-0.215705869471267,0.736581689288402,0.694049642748968,1.82991789218066,1.28545384319138,-0.873200389983548,0.825957561563755,0.352958155945235,2.04365224743997,0.652737719370912,1.55556811761253,0.873200389983548,0.974103292580923,0.215705869471267,1.02846541548548,0.249540493553615,0.283663305145895,-0.573252135887015,0.780490070666475,0.0824181032994021,1.21358028323859,1.45349946276876,1.6770304823129,-0.0164657221579195,2.43935244712229,-1.14748230156437,-0.283663305145895,-0.922477505161213,0.0164657221579194,-1.02846541548548,-0.780490070666475,0.0494150377589495,-0.182116462609734,-0.0494150377589495,-0.115511208380627,-0.318119734624396,0.497236059072662,-1.28545384319138,-2.43935244712229,-0.694049642748969,1.08605050702802,-1.82991789218066,-0.612511057032684,-1.21358028323859,0.922477505161213,-0.974103292580923,-1.55556811761253,0.115511208380627,0.388230441913845,1.36466160509154,1.14748230156437,0.182116462609734,0.573252135887014,-0.352958155945235,-1.6770304823129,0.318119734624396,-0.825957561563755,-0.534857653952456,-0.497236059072662,0.534857653952456,0.423992609193271,-0.388230441913845,-1.45349946276876,0.612511057032684,-1.36466160509154,-0.0824181032994021,-0.652737719370912,-0.460305575676172,-0.249540493553615,0.148731336602831,-2.04365224743997,-1.08605050702802,-0.423992609193271,-0.148731336602832
