"Index","N_obs","N_total","Completeness_pct","Period_start","Period_end","LR_slope","LR_pvalue","LR_significant","LR_rsquared","Sens_slope","Sens_pvalue","Sens_significant","MK_tau","MK_pvalue","MK_significant","Point_ID","Point_X","Point_Y"
"SPI1",912,912,100,"1950-01","2025-12",-5.92685132516876e-05,0.643008726154736,FALSE,0.000236177392109928,-2.78852842464102e-05,0.832182086386636,FALSE,-0.00468927575275302,0.832182049751282,FALSE,1,961241.317898402,966353.288995454
"SPI3",910,912,99.8,"1950-03","2025-12",-0.000168632665169728,0.194060370820009,FALSE,0.00185669779267229,-4.18450242729597e-05,0.75498056258318,FALSE,-0.00691255927085876,0.754980564117432,FALSE,1,961241.317898402,966353.288995454
"SPI6",907,912,99.5,"1950-06","2025-12",-0.000262148159305359,0.0498182761555656,TRUE,0.00424476677835273,-5.92416390440518e-05,0.634829203871894,FALSE,-0.0105362301692367,0.634829163551331,FALSE,1,961241.317898402,966353.288995454
"SPI12",901,912,98.8,"1950-12","2025-12",-0.000422332628309561,0.00182350986970951,TRUE,0.0107588587294026,-0.000167027524937381,0.189688618517911,FALSE,-0.0291883274912834,0.189688593149185,FALSE,1,961241.317898402,966353.288995454
"SPEI1",912,912,100,"1950-01","2025-12",-6.36663047422267e-05,0.60864673771303,FALSE,0.000288193986133674,-5.57858574627662e-05,0.664972152100717,FALSE,-0.0095807584002614,0.664972186088562,FALSE,1,961241.317898402,966353.288995454
"SPEI3",910,912,99.8,"1950-03","2025-12",-0.000149661527880504,0.233964403726195,FALSE,0.00155976990291577,-0.000114878198499953,0.393158307840174,FALSE,-0.018909802660346,0.393158316612244,FALSE,1,961241.317898402,966353.288995454
"SPEI6",907,912,99.5,"1950-06","2025-12",-0.00020319239883732,0.109494354331246,FALSE,0.00282794905894495,-0.00015577321411461,0.239180913568085,FALSE,-0.0261079519987106,0.239180862903595,FALSE,1,961241.317898402,966353.288995454
"SPEI12",901,912,98.8,"1950-12","2025-12",-0.000393322369961486,0.00250021112067151,TRUE,0.0101214220462055,-0.000252404573511416,0.0589882213612706,FALSE,-0.0420224405825138,0.0589882172644138,FALSE,1,961241.317898402,966353.288995454
"SPI1",912,912,100,"1950-01","2025-12",-0.000198415893571481,0.128394436308039,FALSE,0.00253861910007475,-0.000179602890253224,0.169898042253142,FALSE,-0.0303599312901497,0.169898062944412,FALSE,2,1116076.59127834,1023397.86339859
"SPI3",910,912,99.8,"1950-03","2025-12",-0.000381350414721611,0.00317660394548526,TRUE,0.00954440405930432,-0.000216816010929289,0.0974909440024007,FALSE,-0.0366953164339066,0.0974909439682961,FALSE,2,1116076.59127834,1023397.86339859
