space_idx,x,y,variable,period,month,tau_vc,p_value_vc,sl_vc,vc_corrected,n_ties_vc,percent_ties_vc,n_min_vals_vc,percent_min_vals_vc,tau_b_adjusted_vc,filtered_vc,filter_reason_vc,tau_tfpw,p_value_tfpw,sl_tfpw,tfpw_applied,n_ties_tfpw,percent_ties_tfpw,n_min_vals_tfpw,percent_min_vals_tfpw,tau_b_adjusted_tfpw,filtered_tfpw,filter_reason_tfpw,n,rho1,n_spectral_peaks,dominant_period,spectral_confidence,same_significance,same_direction
1,936793.643154201,1235277.71118166,Precipitation,annual,,0.473684210526316,0.0202375193379375,0.41094123541067,TRUE,0,0,0,0,FALSE,FALSE,none,0.473684210526316,0.00459936073659208,0.41094123541067,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.280121452515481,0,,,TRUE,TRUE
2,944942.868068935,1235277.71118166,Precipitation,annual,,-0.111111111111111,0.506225852327387,-0.0886570725759322,FALSE,0,0,0,0,FALSE,FALSE,none,-0.111111111111111,0.506225852327387,-0.0886570725759322,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0448027450660029,0,,,TRUE,TRUE
3,961241.317898402,1235277.71118166,Precipitation,annual,,-0.274853801169591,0.100109736834421,-0.257295127084944,FALSE,0,0,0,0,FALSE,FALSE,none,-0.274853801169591,0.100109736834421,-0.257295127084944,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0972455581888555,0,,,TRUE,TRUE
4,969390.542813136,1235277.71118166,Precipitation,annual,,0.309941520467836,0.096649940030232,0.497635712640153,TRUE,0,0,0,0,FALSE,FALSE,none,0.368421052631579,0.0275179449774461,0.497635712640153,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.124991998313864,0,,,FALSE,TRUE
5,977539.767727869,1235277.71118166,Precipitation,annual,,0.0994152046783626,0.552007442532962,0.0927880682866089,FALSE,0,0,0,0,FALSE,FALSE,none,0.111111111111111,0.506225852327387,0.0927880682866089,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0865984625190269,0,,,TRUE,TRUE
6,985688.992642603,1235277.71118166,Precipitation,annual,,-0.12280701754386,0.462524047806277,-0.062972695256273,FALSE,0,0,0,0,FALSE,FALSE,none,-0.12280701754386,0.462524047806277,-0.062972695256273,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0845888954696473,0,,,TRUE,TRUE
7,936793.643154201,1227128.48626693,Precipitation,annual,,0.111111111111111,0.506225852327387,0.117302476428449,FALSE,0,0,0,0,FALSE,FALSE,none,0.111111111111111,0.506225852327387,0.117302476428449,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0951531946482164,0,,,TRUE,TRUE
8,944942.868068935,1227128.48626693,Precipitation,annual,,0.192982456140351,0.31070030472194,0.137070170603693,TRUE,0,0,0,0,FALSE,FALSE,none,0.192982456140351,0.2482854634365,0.137070170603693,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.152627841665114,0,,,TRUE,TRUE
9,953092.092983669,1227128.48626693,Precipitation,annual,,-0.228070175438597,0.221036846925753,-0.317801139317453,TRUE,0,0,0,0,FALSE,FALSE,none,-0.228070175438597,0.172429979685959,-0.317801139317453,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.123594687645425,0,,,TRUE,TRUE
10,961241.317898402,1227128.48626693,Precipitation,annual,,-0.0994152046783626,0.552007442532962,-0.0427687385429939,FALSE,0,0,0,0,FALSE,FALSE,none,-0.0994152046783626,0.552007442532962,-0.0427687385429939,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0342069622556979,0,,,TRUE,TRUE
